Build_id,Month,Predicted,Original,Upper_b,Lower_b,Anomaly
115506-MN10159,2015-12-01,20492.40647830523,16788.8,33675.18079483761,7974.778477935331,No
115506-MN10159,2016-01-01,23463.60748455396,22164.44137931034,35167.84018597539,10423.366837801608,No
115506-MN10159,2016-02-01,23487.57261489518,22338.82112068966,35481.98335738599,12569.775829333395,No
115506-MN10159,2016-03-01,23925.89923045006,24681.38577586207,36243.23208289398,12494.753206058065,No
115506-MN10159,2016-04-01,25456.07504699039,25266.55172413793,40367.00303186274,12975.177871321031,No
115506-MN10159,2016-05-01,26996.235487846217,26892.3125,42213.45845937018,15670.850520641696,No
115506-MN10159,2016-06-01,24596.04426551444,27286.2875,36412.116827286955,9701.836921419323,No
115506-MN10159,2016-07-01,24859.822212721258,28976.3375,37748.90491782096,11466.807627226484,No
115506-MN10159,2016-08-01,25619.997163041084,28873.0625,38214.66221668352,13946.751929553582,No
115506-MN10159,2016-09-01,23514.63725732527,27200.8275862069,36082.95774061989,10985.667971163524,No
115506-MN10159,2016-10-01,21006.339911336327,24493.793103448275,32832.52475040272,8623.659855828399,No
115506-MN10159,2016-11-01,17677.89671555639,20686.629310344822,29122.410809158882,6442.63721628588,No
115506-MN10159,2016-12-01,19263.59378616199,19575.75,31024.774144667845,7512.482918475316,No
115506-MN10159,2017-01-01,18044.77875839326,17990.387096774197,30102.169360480148,6029.725335421699,No
115506-MN10159,2017-02-01,15748.920670256808,15922.440489432704,27774.256318780226,3385.0151525937968,No
115506-MN10159,2017-03-01,16397.405515865,17038.34482758621,27691.458993278142,6457.563814181043,No
115506-MN10159,2017-04-01,16696.783643543375,17096.279199110122,29074.737883718553,5160.917717396729,No
115506-MN10159,2017-05-01,16744.939305145926,16965.824249165737,28162.423261604465,6848.621801889986,No
115506-MN10159,2017-06-01,15623.918680116976,13992.48275862069,26750.291719731995,4184.404738382606,No
115506-MN10159,2017-07-01,15600.44213100399,8874.015572858732,25684.60552885563,4786.07681918215,No
115506-MN10159,2017-08-01,14831.691126069692,8140.757056451613,28638.601811721546,3999.328616396975,No
115506-MN10159,2017-09-01,14401.980794412308,8939.653935185186,26125.429270206605,4218.619470100611,No
115506-MN10159,2017-10-01,12450.941669415384,8409.976105137393,23904.448344366716,1751.8434505234252,No
115506-MN10159,2017-11-01,12128.982730208698,8898.695852534562,22161.561762070643,607.7956664426359,No
115506-MN10159,2017-12-01,7875.3796076029685,8748.942857142858,19239.735489359125,-2720.6816672533437,No
115506-MN10159,2018-01-01,8100.134608895262,9057.2,18798.111026695817,-2618.176866251568,No
115506-MN10159,2018-02-01,6700.991749800724,7733.793103448275,17910.23843268873,-5225.774224550879,No
115506-MN10159,2018-03-01,9831.609743491561,8282.814039408868,22783.443530752356,-1450.5909400534185,No
115506-MN10159,2018-04-01,9053.367922657033,7491.580357142857,25771.63571321984,-3346.1684212107725,No
115506-MN10159,2018-05-01,7818.57433129204,7924.645833333332,19973.23470703894,-5921.206474460327,No
115506-MN10159,2018-06-01,8175.480767341272,8798.833333333334,20386.702955522444,-4453.683974515009,No
115506-MN10159,2018-07-01,7978.87582841456,10389.62365591398,21973.711801464982,-6036.684104767506,No
115506-MN10159,2018-08-01,5802.3416579008845,8807.548387096775,19189.87077342237,-5908.62777125799,No
115506-MN10159,2018-09-01,7103.051782529461,7953.954393770857,19746.917247964513,-4604.528154919071,No
115506-MN10159,2018-10-01,5698.107616905304,8145.925646551725,15761.110072197134,-6068.007760093337,No
115506-MN10159,2018-11-01,8229.053234992974,8248.626077586207,19965.862310318407,-4353.428753193386,No
115506-MN10159,2018-12-01,-1946.358758731682,1109.655172413793,8237.975615732203,-13671.386475288316,No
277107-MN10163,2016-05-01,9643.941268279385,625.0,216051.78481990658,-232912.25405304605,No
277107-MN10163,2016-06-01,31302.586445036985,788.3333333333335,228441.2790445298,-184881.11498262818,No
277107-MN10163,2016-07-01,36996.18821755505,786.6666666666667,255971.4171903591,-170016.23983134175,No
277107-MN10163,2016-08-01,83279.71935902236,813.3333333333335,314717.4302493969,-125694.92808508535,No
277107-MN10163,2016-09-01,58005.607614527085,821.1494252873563,258310.05440245167,-165989.26218690575,No
277107-MN10163,2016-10-01,58973.6891851415,855.1724137931034,294444.5692434385,-176250.6352295153,No
277107-MN10163,2016-11-01,16675.97284011368,110.34482758620688,232607.29022839395,-197389.1062614563,No
277107-MN10163,2016-12-01,6796.7113544914755,-4676.617204301088,245621.63155213854,-244257.92721600676,No
277107-MN10163,2017-01-01,132218.19675571116,142518.55268817206,345119.4773035346,-91714.94566997078,No
277107-MN10163,2017-02-01,93765.99608242048,146608.69784946233,286772.7733317801,-106225.30339647963,No
277107-MN10163,2017-03-01,164130.783598867,158173.36666666667,402605.5487682745,-55559.86303525181,No
277107-MN10163,2017-04-01,120093.38627261973,148934.15625,353590.1606431921,-113088.46283441219,No
277107-MN10163,2017-05-01,106276.26750237533,149686.97278225806,298364.4164170543,-89092.5264812864,No
277107-MN10163,2017-06-01,99425.03122162193,161595.59510567298,307295.2797304958,-110384.02524954133,No
277107-MN10163,2017-07-01,107934.09089152595,179507.7274749722,310590.7314656253,-88328.5043871271,No
277107-MN10163,2017-08-01,116714.08031833098,181079.0,317263.79723278835,-66323.43516507503,No
277107-MN10163,2017-09-01,115118.88720690893,172023.82424916571,307794.472988783,-86349.52834986073,No
277107-MN10163,2017-10-01,105896.99594470044,172663.11123470525,299681.6008046505,-135633.63707443612,No
277107-MN10163,2017-11-01,117027.211190025,172482.44623655913,325658.0881032886,-82555.81819105757,No
277107-MN10163,2017-12-01,68707.44783661894,200058.62873563208,234219.10501197024,-123554.3407876719,No
277107-MN10163,2018-01-01,174430.02190167335,158144.78631813126,401846.2285097393,-56144.16021441135,No
277107-MN10163,2018-02-01,179644.1009104602,147997.05806451608,384709.1581991056,-31724.482176225734,No
277107-MN10163,2018-03-01,164603.2320608329,174806.20465949818,372123.68974686257,-31307.50272285534,No
277107-MN10163,2018-04-01,190306.580004672,147544.63082437275,409872.5796853576,-11628.38565169659,No
277107-MN10163,2018-05-01,192749.2883323433,154085.36151279198,455965.66288933647,-8680.20348959275,No
277107-MN10163,2018-06-01,156343.3417039492,139681.0632183908,367304.8797959708,-43774.30824538343,No
277107-MN10163,2018-07-01,167213.08475685853,152776.36666666667,374618.55563399557,-59085.95918101709,No
277107-MN10163,2018-08-01,138783.91554353177,146453.5634408602,349353.84039574827,-68182.95345933479,No
277107-MN10163,2018-09-01,161555.4312341155,151678.61751152074,377747.750127022,-59908.18508975761,No
277107-MN10163,2018-10-01,142863.4651772608,163511.6857142857,366396.6164016109,-87359.63331183347,No
277107-MN10163,2018-11-01,207478.41427307876,159880.94482758618,425599.0947746737,15458.3733756451,No
277107-MN10163,2018-12-01,120262.05491350424,22053.655172413793,362819.5252885957,-91046.61057698057,No
277107-MN10167,2016-10-01,6867.904718001439,6222.857142857143,11716.878946635105,2814.4182531593347,No
277107-MN10167,2016-11-01,9445.376115757646,9257.142857142857,13796.356285874142,4709.956167697135,No
277107-MN10167,2016-12-01,9288.302391376687,8040.0,14263.166787481374,5356.956000253903,No
277107-MN10167,2017-01-01,9315.25477473058,9095.172413793105,13743.007429999738,5232.226063430828,No
277107-MN10167,2017-02-01,8092.788612404674,8169.827586206897,12940.561540245857,3968.090990119924,No
277107-MN10167,2017-03-01,8594.614817044434,9403.387096774191,13031.825327746814,3528.521290010053,No
277107-MN10167,2017-04-01,9626.771814363283,10013.094384707287,14036.391886212794,5180.608625171461,No
277107-MN10167,2017-05-01,10611.773387539892,10105.615292712067,15642.538360985563,6069.530240016765,No
277107-MN10167,2017-06-01,9085.49607268711,9513.592880978866,13578.974161524644,4581.198672413146,No
277107-MN10167,2017-07-01,10027.781994354365,9834.310344827589,14444.763170820419,5673.851192954478,No
277107-MN10167,2017-08-01,10890.61609223409,10353.275862068966,15791.398430197434,6055.732601495458,No
277107-MN10167,2017-09-01,10024.757369052824,10288.866995073891,14824.933177537374,4889.887073666929,No
277107-MN10167,2017-10-01,9353.15738129546,10626.995073891629,13152.867336573636,5806.120439382398,No
277107-MN10167,2017-11-01,9883.36660372508,9910.528735632184,13995.11734978387,5605.698309575323,No
277107-MN10167,2017-12-01,7085.658931082216,8893.333333333334,11263.578925548287,3189.407982662154,No
277107-MN10167,2018-01-01,10103.49531530111,10420.57142857143,14584.21837792796,5941.880366424036,No
277107-MN10167,2018-02-01,9254.259931037644,9100.460829493088,13767.326611599145,4739.9964964620785,No
277107-MN10167,2018-03-01,10208.22865143659,9726.967741935483,14550.950847190214,5796.934384226309,No
277107-MN10167,2018-04-01,9758.354740237111,9763.310344827589,13813.029752142831,4171.7626994234415,No
277107-MN10167,2018-05-01,9453.550608693391,9580.689655172411,13822.640432497266,4614.191726317989,No
277107-MN10167,2018-06-01,9795.81499430788,9408.0,14488.426496308533,4680.6447127708,No
277107-MN10167,2018-07-01,10120.439867239089,10142.0,15120.996102091944,5727.8350585204535,No
277107-MN10167,2018-08-01,10219.427418864983,10530.0,14950.692793361579,5022.834659390166,No
277107-MN10167,2018-09-01,10684.747087964468,10448.0,16616.87287970019,6449.8299511925925,No
277107-MN10167,2018-10-01,11169.175286316633,10509.5,15368.884780556684,6481.594456177492,No
277107-MN10167,2018-11-01,9580.829265197812,9908.214285714286,14411.13127193089,5408.389290115185,No
277107-MN10167,2018-12-01,4213.113173414059,3614.285714285714,8406.955037276399,-555.9742513543451,No
47068-MN10000,2015-12-01,47247.33219885424,55862.4,73094.83901685034,25558.800718938557,No
47068-MN10000,2016-01-01,76066.77209515551,73788.87586206896,96926.25855477696,52519.99278819247,No
47068-MN10000,2016-02-01,73148.9508607079,71429.53663793103,98376.31934360699,47717.4295892921,No
47068-MN10000,2016-03-01,76346.76103159136,79269.15301724138,100695.88985973346,54150.29377726155,No
47068-MN10000,2016-04-01,75305.57622135032,78526.86781609197,98448.79519926489,53936.87106155838,No
47068-MN10000,2016-05-01,78452.68931489997,80552.72916666669,101958.87669454876,56305.76994373598,No
47068-MN10000,2016-06-01,82114.58130266605,79402.8375,106995.47583721059,58980.79022399548,No
47068-MN10000,2016-07-01,78799.29898163419,80280.9125,100810.6047358397,50900.20461355432,No
47068-MN10000,2016-08-01,82387.30782742503,79795.2875,105860.48940536403,59480.29249026974,No
47068-MN10000,2016-09-01,80426.59554179045,76661.29655172414,104955.7021954749,53181.31470756189,No
47068-MN10000,2016-10-01,76701.50916478368,74642.06896551725,100812.15949240155,53729.701209053266,No
47068-MN10000,2016-11-01,61842.90149112618,60410.34698275862,89168.18709450067,41041.16638663358,No
47068-MN10000,2016-12-01,59470.55327854097,57272.4375,80593.11216827875,37677.45251272974,No
47068-MN10000,2017-01-01,63992.79890334209,60972.75,88197.8649626341,39856.91710887323,No
47068-MN10000,2017-02-01,60121.434288886834,56056.46551724138,81807.09642797391,38128.487634482,No
47068-MN10000,2017-03-01,66696.34078318374,62245.03448275862,86858.44889559114,46177.767180014955,No
47068-MN10000,2017-04-01,66628.22750700168,61499.41935483871,86280.42251310982,46941.24911396946,No
47068-MN10000,2017-05-01,69496.11845446973,64607.13236929923,90538.02718765975,48319.04368639827,No
47068-MN10000,2017-06-01,68060.11420070782,63506.62068965517,89702.61564292022,46995.43687643357,No
47068-MN10000,2017-07-01,69670.83620689058,65096.76307007786,92081.9101657575,49116.92732978471,No
47068-MN10000,2017-08-01,73606.1052786013,76468.89210233593,95193.397150813,54281.545881139136,No
47068-MN10000,2017-09-01,72029.53285286133,75204.31527093597,92802.32105562332,51144.983590502256,No
