Build_id,Month,Predicted,Original,Upper_b,Lower_b,Anomaly
115506-MN10159,2015-12-01,3873.290516515744,2929.2438215999996,6951.471429692782,356.8975015664401,No
115506-MN10159,2016-01-01,4951.078711595264,4428.869051089655,8330.651029259583,1747.1143122008077,No
115506-MN10159,2016-02-01,4916.675311140771,4600.723944529095,8214.989187817144,1815.5595474610934,No
115506-MN10159,2016-03-01,5052.607578280304,5166.630288264008,8003.206246245173,2331.49183274619,No
115506-MN10159,2016-04-01,4979.917391458001,5366.266205517241,7955.728782116926,1832.0725180465288,No
115506-MN10159,2016-05-01,5901.726503131408,6079.550127999999,8658.277462012858,2878.7870994791992,No
115506-MN10159,2016-06-01,5835.4075950116685,6388.307989999998,8625.761445380878,2917.9771052794727,No
115506-MN10159,2016-07-01,5956.920275805642,7010.5415258125,8666.809721691161,2832.4219988031555,No
115506-MN10159,2016-08-01,5568.930831802441,6655.9227919875,8678.388471652692,2594.4802887124038,No
115506-MN10159,2016-09-01,5446.03144500113,6193.465590855173,8540.013564829074,2399.6661841089335,No
115506-MN10159,2016-10-01,4603.35117533005,5474.439956206896,7805.58202213877,1431.8437033802725,No
115506-MN10159,2016-11-01,3913.6169697377472,4393.502503981681,6826.062055202961,901.2813027188066,No
115506-MN10159,2016-12-01,3527.81231492656,2968.0758563820564,6642.875433825593,-88.56097320094764,No
115506-MN10159,2017-01-01,3095.3000775285664,2530.866514903225,6342.859771712576,-159.20540371723692,No
115506-MN10159,2017-02-01,2937.8193160507567,2527.8736832900204,7695.762194895688,-111.71573695786087,No
115506-MN10159,2017-03-01,3157.068096614418,2832.163360590298,5831.962724910886,206.1863834176033,No
115506-MN10159,2017-04-01,3038.97202330499,2856.0032828616168,5746.441154423621,291.52136183087123,No
115506-MN10159,2017-05-01,3705.001296379328,3401.0092450255843,6377.506896997951,990.7213549680575,No
115506-MN10159,2017-06-01,3816.7263557483716,3114.645820724138,6646.619269376555,1229.5301452066874,No
115506-MN10159,2017-07-01,3627.3950509401798,2183.704015895439,6373.215975700388,897.1935353478501,No
115506-MN10159,2017-08-01,3472.673748605243,2056.4713467026213,6445.632241291815,787.5679153676398,No
115506-MN10159,2017-09-01,3404.013848956314,2281.7810971436843,6059.034807964644,1096.201039334445,No
115506-MN10159,2017-10-01,3019.7334514969575,2009.3190881859534,6039.585592214779,410.8617203777936,No
115506-MN10159,2017-11-01,2367.8517457030052,1783.3540299688543,4885.310706158317,-142.14363435382634,No
115506-MN10159,2017-12-01,1069.981685181895,1670.7871057827588,3698.777083029289,-1437.1296518876065,No
115506-MN10159,2018-01-01,1170.721236548458,1731.0047564494253,4124.15673045516,-1705.8637933534442,No
115506-MN10159,2018-02-01,1096.5554840442064,1484.5655846372742,4273.022690665842,-1916.8050251392337,No
115506-MN10159,2018-03-01,1626.7000800986968,1641.0791148633007,4499.043986115851,-1381.640908052778,No
115506-MN10159,2018-04-01,1493.2904305242425,1509.9841568125,4290.261417191278,-1321.7223818669884,No
115506-MN10159,2018-05-01,1933.086744094971,1926.0768559375,4913.597018382617,-1011.0133604385776,No
115506-MN10159,2018-06-01,2245.1339840614432,2186.209456333333,5008.722672906371,-596.6463975558927,No
115506-MN10159,2018-07-01,1764.2756062350181,2386.736617247312,4449.969538357383,-1111.8882423502853,No
115506-MN10159,2018-08-01,1850.356440317675,2117.247181225807,4728.822782790758,-1109.7788549442046,No
115506-MN10159,2018-09-01,1821.373600103902,2002.155739193549,4686.165676982609,-887.8004277051186,No
115506-MN10159,2018-10-01,1868.1591049701062,1968.62704346875,5033.366793356041,-1158.7952771450948,No
115506-MN10159,2018-11-01,1205.3966001428398,1394.0437609105602,3916.955389582434,-1762.8723225339136,No
115506-MN10159,2018-12-01,-1029.6222827292509,172.63190262068966,1946.142527799924,-4025.7871231074,No
277107-MN10163,2016-05-01,-408.88398365318494,171.5625,11386.557616811737,-12004.954660285757,No
277107-MN10163,2016-06-01,1339.5849659620726,215.3548333333333,13279.739795055604,-10683.238670418772,No
277107-MN10163,2016-07-01,1372.8461157732866,215.60766666666663,13148.97314865763,-10622.121912095507,No
277107-MN10163,2016-08-01,3247.880744822695,150.46,15917.239452697868,-8065.972360993351,No
277107-MN10163,2016-09-01,2344.537789223457,127.69155172413792,16199.709189638219,-9039.493446881283,No
277107-MN10163,2016-10-01,1867.5112670561566,132.1458620689655,14311.866231840419,-10310.404419307915,No
277107-MN10163,2016-11-01,-1253.4465076414044,28.19066312997348,11757.58385775566,-17214.43118879919,No
277107-MN10163,2016-12-01,3073.9897138530114,-285.1523457402808,16671.046995959954,-9889.45601687269,No
277107-MN10163,2017-01-01,7782.243225309909,10340.475397849465,19990.200719239536,-5093.893959645437,No
277107-MN10163,2017-02-01,9800.308325015445,11344.092204301074,21194.348979000137,-2220.9007259647806,No
277107-MN10163,2017-03-01,13587.134411729749,12756.37705128205,28305.650702585415,1795.520432163238,No
277107-MN10163,2017-04-01,12686.012361007655,12478.907115384616,24845.29521886819,311.4455363742234,No
277107-MN10163,2017-05-01,14384.955945265809,14565.165241935483,24418.658561136086,3617.0101439719792,No
277107-MN10163,2017-06-01,13973.962072496266,15914.256051167964,25247.360365941997,621.7137671926666,No
277107-MN10163,2017-07-01,15018.12869890707,18119.671852057843,26667.50094519281,4618.648304107158,No
277107-MN10163,2017-08-01,15641.333718186419,18410.535,26898.38720358299,5050.688097705919,No
277107-MN10163,2017-09-01,15508.510500498965,18108.38866518353,26563.534408169453,5616.608213689791,No
277107-MN10163,2017-10-01,15538.57149183748,16197.115528364851,25971.32421210853,4921.287931386019,No
277107-MN10163,2017-11-01,13370.19844173032,13560.761827956987,23550.485097564764,1021.2360703014439,No
277107-MN10163,2017-12-01,6714.146652040101,15116.239540229895,17049.26130692188,-4107.825872615149,No
277107-MN10163,2018-01-01,25096.2879036326,23511.036696329254,37422.31529214725,13826.078046127759,No
277107-MN10163,2018-02-01,23755.871084893777,22054.126451612905,37185.25392224756,9884.216517465416,No
277107-MN10163,2018-03-01,24432.649194115646,25815.521955764467,36702.7635415225,12703.19505733538,No
277107-MN10163,2018-04-01,21307.745596051533,22423.144995654893,33864.11081771013,8762.333319038715,No
277107-MN10163,2018-05-01,27276.482998088504,26495.623780845384,38890.69052878754,16147.954879568966,No
277107-MN10163,2018-06-01,24560.987635305442,24132.04592138506,38338.39455806704,11632.17528773317,No
277107-MN10163,2018-07-01,26570.155485032825,25256.483582909346,39136.49707738927,15138.348745440226,No
277107-MN10163,2018-08-01,25931.631627674964,25534.761376344086,37077.6792363098,13005.999352900446,No
277107-MN10163,2018-09-01,26590.03141285715,26944.074746543774,40021.156406748,13714.678589520787,No
277107-MN10163,2018-10-01,27163.957174208528,26973.52158102826,39156.656840336975,14900.513677566749,No
277107-MN10163,2018-11-01,25932.80101741277,24422.12748003085,41326.964205917575,13440.530907110664,No
277107-MN10163,2018-12-01,8578.633633622485,3741.075224655173,20629.682655961384,-3528.0215769191295,No
277107-MN10167,2016-10-01,1032.9616945155246,794.34,2324.8217981535668,-222.41794101660156,No
277107-MN10167,2016-11-01,1397.473433990573,1124.20625,2559.866838817224,114.47099973926889,No
277107-MN10167,2016-12-01,1277.5464688367597,946.55075,2518.9141061920504,58.31389408249128,No
277107-MN10167,2017-01-01,1413.4837566468066,1513.5027332758625,2680.907619310277,22.60344647160462,No
277107-MN10167,2017-02-01,1598.120498667974,1597.858149788654,2899.956942408025,342.42659396456446,No
277107-MN10167,2017-03-01,1732.2523927374793,1800.3430846774195,3132.7340786629343,488.5443332336144,No
277107-MN10167,2017-04-01,1880.8812957187974,1968.252159559652,3260.528538358435,697.0431197882441,No
277107-MN10167,2017-05-01,1858.7029775480878,2097.725758827445,3155.1118855421983,498.545094446935,No
277107-MN10167,2017-06-01,1737.5368483465065,2024.6773037330368,2951.2156699936913,573.3040505064675,No
277107-MN10167,2017-07-01,2063.4245846924264,2116.235685137931,3238.2302205518354,846.42594079585,No
277107-MN10167,2017-08-01,2077.2331884277755,2187.768681081609,3476.3144595512217,539.9788158463955,No
