,Account,Month,Prorated_Consumption,Prorated_Charge
65,Building_Code-B52-Account_ID-1130,2016-04-01,167252.68514890282,19961.77001044932
66,Building_Code-B52-Account_ID-1130,2016-05-01,175411.2765935214,20672.950585510273
67,Building_Code-B52-Account_ID-1130,2016-06-01,173718.9587121212,19997.79434090909
68,Building_Code-B52-Account_ID-1130,2016-07-01,185716.35403605015,21948.27931252177
69,Building_Code-B52-Account_ID-1130,2016-08-01,184090.98119122256,20957.99311424591
70,Building_Code-B52-Account_ID-1130,2016-09-01,174552.16144200627,20613.778838035527
71,Building_Code-B52-Account_ID-1130,2016-10-01,165974.52321708464,19202.372674590733
72,Building_Code-B52-Account_ID-1130,2016-11-01,143776.7962793255,16978.713593597262
73,Building_Code-B52-Account_ID-1130,2016-12-01,135814.07184750732,16278.815935158033
74,Building_Code-B52-Account_ID-1130,2017-01-01,139350.86539589442,17287.71365558814
75,Building_Code-B52-Account_ID-1130,2017-02-01,81900.57272727272,11586.428565656566
76,Building_Code-B52-Account_ID-1130,2017-03-01,71899.37419354838,10051.171516129032
77,Building_Code-B52-Account_ID-1130,2017-04-01,72358.02580645162,9892.848483870968
78,Building_Code-B52-Account_ID-1130,2017-05-01,70825.33333333333,9713.871666666666
79,Building_Code-B52-Account_ID-1130,2017-06-01,64715.30416666667,9009.550958333333
80,Building_Code-B52-Account_ID-1130,2017-07-01,61867.528017241384,9161.288512931034
81,Building_Code-B52-Account_ID-1130,2017-08-01,38604.13448275862,6344.217862068965
82,Building_Code-B52-Account_ID-1130,2017-09-01,26490.383870967744,4552.446709677419
83,Building_Code-B52-Account_ID-1130,2017-10-01,25986.136818687428,4831.702669632925
84,Building_Code-B52-Account_ID-1130,2017-11-01,21602.47608453838,5223.415394883203
85,Building_Code-B52-Account_ID-1130,2017-12-01,16460.65322580645,3426.1107258064512
86,Building_Code-B52-Account_ID-1130,2018-01-01,15500.353448275862,3000.465948275862
87,Building_Code-B52-Account_ID-1130,2018-02-01,11332.763218390804,2630.0132183908045
88,Building_Code-B52-Account_ID-1130,2018-03-01,9854.164583333333,1861.7605208333334
89,Building_Code-B52-Account_ID-1130,2018-04-01,8414.485991379312,1839.4352262931036
90,Building_Code-B52-Account_ID-1130,2018-05-01,8200.98275862069,1548.2572528735632
91,Building_Code-B52-Account_ID-1130,2018-06-01,7786.78125,1242.5140833333332
92,Building_Code-B52-Account_ID-1130,2018-07-01,8819.201508620688,2676.276594827586
93,Building_Code-B52-Account_ID-1130,2018-08-01,9020.51724137931,3533.6496551724135
94,Building_Code-B52-Account_ID-1130,2018-09-01,7554.741935483871,1578.2222580645162
95,Building_Code-B52-Account_ID-1130,2018-10-01,7707.84427141268,1271.682914349277
96,Building_Code-B52-Account_ID-1130,2018-11-01,8262.897664071192,1336.8674082313682
97,Building_Code-B52-Account_ID-1130,2018-12-01,8960.641129032258,1537.1399193548386
98,Building_Code-B52-Account_ID-1130,2019-01-01,8951.475,1619.6175
99,Building_Code-B52-Account_ID-1130,2019-02-01,1728.4,316.21000000000004
100,Building_Code-B145-Account_ID-1330,2014-12-01,3778.0967741935483,1927.9045161290323
101,Building_Code-B145-Account_ID-1330,2015-01-01,116713.65322580645,59576.54655529954
102,Building_Code-B145-Account_ID-1330,2015-02-01,94156.73387096774,48591.13957373272
103,Building_Code-B145-Account_ID-1330,2015-03-01,94588.5494623656,48939.88768817204
104,Building_Code-B145-Account_ID-1330,2015-04-01,5626.966666666666,3750.7365053763447
105,Building_Code-B145-Account_ID-1330,2015-05-01,0.0,600.6451612903226
106,Building_Code-B145-Account_ID-1330,2015-06-01,0.0,599.3548387096774
107,Building_Code-B145-Account_ID-1330,2015-07-01,0.0,600.6451612903226
108,Building_Code-B145-Account_ID-1330,2015-08-01,0.0,618.7096774193549
109,Building_Code-B145-Account_ID-1330,2015-09-01,1350.4193548387098,1044.6367741935483
110,Building_Code-B145-Account_ID-1330,2015-10-01,43121.21397849463,15561.093548387096
111,Building_Code-B145-Account_ID-1330,2015-11-01,78316.85053763441,31946.369354838713
112,Building_Code-B145-Account_ID-1330,2015-12-01,84124.12903225806,37754.504838709676
113,Building_Code-B145-Account_ID-1330,2016-01-01,127831.76452281528,67226.36122099843
114,Building_Code-B145-Account_ID-1330,2016-02-01,112517.91977120907,58978.65920205815
115,Building_Code-B145-Account_ID-1330,2016-03-01,64239.036136083196,44610.96238339503
116,Building_Code-B145-Account_ID-1330,2016-04-01,33270.4262295082,8881.89573488454
117,Building_Code-B145-Account_ID-1330,2016-05-01,7888.907103825137,1203.2605984487925
118,Building_Code-B145-Account_ID-1330,2016-06-01,7634.426229508197,1182.5310682178742
119,Building_Code-B145-Account_ID-1330,2016-07-01,7888.907103825137,1202.6154371584698
120,Building_Code-B145-Account_ID-1330,2016-08-01,7888.907103825137,1203.2605984487925
121,Building_Code-B145-Account_ID-1330,2016-09-01,7636.738164992068,1190.4497778952937
122,Building_Code-B145-Account_ID-1330,2016-10-01,10498.910329631588,2243.0083403842764
123,Building_Code-B145-Account_ID-1330,2016-11-01,83853.78106821787,25248.769777895293
124,Building_Code-B145-Account_ID-1330,2016-12-01,119844.4232328574,60245.49059844879
125,Building_Code-B145-Account_ID-1330,2017-01-01,100793.66010047594,60295.18856821787
126,Building_Code-B145-Account_ID-1330,2017-02-01,84589.6370967742,57337.33895161291
127,Building_Code-B145-Account_ID-1330,2017-03-01,88451.6129032258,54247.59354838709
128,Building_Code-B145-Account_ID-1330,2017-04-01,0.0,599.3548387096774
129,Building_Code-B145-Account_ID-1330,2017-05-01,0.03333333333333333,600.7888279569893
130,Building_Code-B145-Account_ID-1330,2017-06-01,0.9666666666666667,603.5211720430107
131,Building_Code-B145-Account_ID-1330,2017-07-01,0.0,600.0
132,Building_Code-B145-Account_ID-1330,2017-08-01,0.0,600.6451612903226
133,Building_Code-B145-Account_ID-1330,2017-09-01,996.8064516129032,1003.5935483870967
134,Building_Code-B145-Account_ID-1330,2017-10-01,32551.96021505376,14196.931118279568
135,Building_Code-B145-Account_ID-1330,2017-11-01,80300.00752688173,45148.001462365595
136,Building_Code-B145-Account_ID-1330,2017-12-01,109640.93548387097,61309.13193548388
137,Building_Code-B145-Account_ID-1330,2018-01-01,128861.1831797235,73915.55800691244
138,Building_Code-B145-Account_ID-1330,2018-02-01,82346.30069124424,47439.26650921659
139,Building_Code-B145-Account_ID-1330,2018-03-01,98084.13978494622,55376.765419354844
140,Building_Code-B145-Account_ID-1330,2018-04-01,26341.666666666668,11120.206838709677
141,Building_Code-B145-Account_ID-1330,2018-05-01,0.0,600.6451612903226
