,Account,Month,Imputed_KWH,Imputed_Charges
63,Building_Code-B145 - Account_ID-1331,2015-12-01,24800.987903225807,2865.525443548387
64,Building_Code-B145 - Account_ID-1331,2016-01-01,25559.70852534562,3031.7100921658985
65,Building_Code-B145 - Account_ID-1331,2016-02-01,23597.86038961039,2880.1775324675323
66,Building_Code-B145 - Account_ID-1331,2016-03-01,24003.81818181818,2952.2143887147336
67,Building_Code-B145 - Account_ID-1331,2016-04-01,24315.03448275862,3131.0331034482756
68,Building_Code-B145 - Account_ID-1331,2016-05-01,30643.200811359027,3858.743042596349
69,Building_Code-B145 - Account_ID-1331,2016-06-01,35455.971602434074,4538.3607505070995
70,Building_Code-B145 - Account_ID-1331,2016-07-01,42904.668103448275,5816.462521551724
71,Building_Code-B145 - Account_ID-1331,2016-08-01,44325.791666666664,5867.981041666666
72,Building_Code-B145 - Account_ID-1331,2016-09-01,35096.64367816092,4861.754712643678
73,Building_Code-B145 - Account_ID-1331,2016-10-01,25316.06896551724,3433.6220689655174
74,Building_Code-B145 - Account_ID-1331,2016-11-01,21912.558189655174,2756.5337392241386
75,Building_Code-B145 - Account_ID-1331,2016-12-01,23551.886029411766,2721.2345772058825
76,Building_Code-B145 - Account_ID-1331,2017-01-01,24038.176470588234,2763.207163865546
77,Building_Code-B145 - Account_ID-1331,2017-02-01,21537.9,2727.977071428572
78,Building_Code-B145 - Account_ID-1331,2017-03-01,23851.766666666666,2990.9006666666664
79,Building_Code-B145 - Account_ID-1331,2017-04-01,24887.913978494624,3078.524301075269
80,Building_Code-B145 - Account_ID-1331,2017-05-01,30737.75268817204,3735.0556989247307
81,Building_Code-B145 - Account_ID-1331,2017-06-01,37766.0,4792.066666666666
82,Building_Code-B145 - Account_ID-1331,2017-07-01,48445.76041666667,6002.086354166667
83,Building_Code-B145 - Account_ID-1331,2017-08-01,45874.572916666664,5756.870312499999
84,Building_Code-B145 - Account_ID-1331,2017-09-01,35565.2619047619,4917.92
85,Building_Code-B145 - Account_ID-1331,2017-10-01,29337.6921182266,3759.6586206896554
86,Building_Code-B145 - Account_ID-1331,2017-11-01,23059.754310344826,2811.7732543103443
87,Building_Code-B145 - Account_ID-1331,2017-12-01,23111.742647058825,2654.202830882353
88,Building_Code-B145 - Account_ID-1331,2018-01-01,23648.0892494929,2739.996673427992
89,Building_Code-B145 - Account_ID-1331,2018-02-01,21024.79310344827,2662.0348275862075
90,Building_Code-B145 - Account_ID-1331,2018-03-01,22015.379310344826,2870.241724137931
91,Building_Code-B145 - Account_ID-1331,2018-04-01,22737.51724137931,2989.9427586206893
92,Building_Code-B145 - Account_ID-1331,2018-05-01,30415.691683569985,3805.8622515212983
93,Building_Code-B145 - Account_ID-1331,2018-06-01,36111.13590263692,4603.484989858012
94,Building_Code-B145 - Account_ID-1331,2018-07-01,42164.77586206897,5579.483318965516
95,Building_Code-B145 - Account_ID-1331,2018-08-01,40031.72580645161,5234.069072580645
96,Building_Code-B145 - Account_ID-1331,2018-09-01,34334.98847926267,4814.29539170507
97,Building_Code-B145 - Account_ID-1331,2018-10-01,27736.947004608297,3578.9336405529957
98,Building_Code-B145 - Account_ID-1331,2018-11-01,21126.03870967742,2654.5166451612904
99,Building_Code-B145 - Account_ID-1331,2018-12-01,21667.09411764706,1259.9107647058822
100,Building_Code-B145 - Account_ID-1331,2019-01-01,23350.15415821501,62.46668356997975
101,Building_Code-B145 - Account_ID-1331,2019-02-01,24621.655172413793,1767.0896551724138
102,Building_Code-B9 - Account_ID-1024,2014-12-01,437647.0588235294,61004.608235294116
103,Building_Code-B9 - Account_ID-1024,2015-01-01,449458.82352941175,64728.601960784305
104,Building_Code-B9 - Account_ID-1024,2015-02-01,453296.5517241379,74066.281954023
105,Building_Code-B9 - Account_ID-1024,2015-03-01,418161.51279199106,64933.77621802002
106,Building_Code-B9 - Account_ID-1024,2015-04-01,362408.60215053766,65151.666494623656
107,Building_Code-B9 - Account_ID-1024,2015-05-01,394243.6781609195,77843.30935632183
108,Building_Code-B9 - Account_ID-1024,2015-06-01,456889.6551724138,109987.53931034482
109,Building_Code-B9 - Account_ID-1024,2015-07-01,497537.9310344828,111482.36620689655
110,Building_Code-B9 - Account_ID-1024,2015-08-01,511568.73563218385,128881.67145977012
111,Building_Code-B9 - Account_ID-1024,2015-09-01,443686.4367816092,109132.99681609195
112,Building_Code-B9 - Account_ID-1024,2015-10-01,388856.8965517242,71050.61457974138
113,Building_Code-B9 - Account_ID-1024,2015-11-01,357296.6666666666,59205.5779375
114,Building_Code-B9 - Account_ID-1024,2015-12-01,385559.21568627446,65609.86005882353
115,Building_Code-B9 - Account_ID-1024,2016-01-01,416760.7843137255,69607.23460784314
