Build_id,Month,Predicted,Original,Upper_b,Lower_b,Anomaly
Building_Code-B1-Account_ID-1000,2014-12-01,196.4343531818028,122.55483870967741,363.4695165768965,29.425161476115363,No
Building_Code-B1-Account_ID-1000,2015-01-01,305.8922702714097,318.12516129032264,477.27708407942896,148.77001139633674,No
Building_Code-B1-Account_ID-1000,2015-02-01,316.02203421591076,396.2714285714286,493.03635331594813,146.22877501429224,No
Building_Code-B1-Account_ID-1000,2015-03-01,407.1115058049145,379.1208294930876,587.7525488694072,229.74158271067625,No
Building_Code-B1-Account_ID-1000,2015-04-01,238.95619133036115,213.50774193548386,431.8317251384369,37.76393489294427,No
Building_Code-B1-Account_ID-1000,2015-05-01,262.52497160762596,225.96030303030304,456.2598791042991,78.55267064569172,No
Building_Code-B1-Account_ID-1000,2015-06-01,267.8049314862643,276.68142110762795,431.8324493812966,74.70259689124526,No
Building_Code-B1-Account_ID-1000,2015-07-01,358.9972248622953,380.9096551724138,565.0548321799616,172.4197856798164,No
Building_Code-B1-Account_ID-1000,2015-08-01,379.16922218538946,396.70771159874613,585.9001970856946,195.20347433372396,No
Building_Code-B1-Account_ID-1000,2015-09-01,319.5369978791677,319.57366771159883,494.35177281177425,121.50470403799427,No
Building_Code-B1-Account_ID-1000,2015-10-01,296.13992702522836,262.9655172413793,480.70168345647164,97.67329780778824,No
Building_Code-B1-Account_ID-1000,2015-11-01,224.94673999661285,212.34859913793102,426.57794096333095,38.237853670172015,No
Building_Code-B1-Account_ID-1000,2015-12-01,166.72250944904346,220.5376411290323,360.2587570542295,-34.80066432348174,No
Building_Code-B1-Account_ID-1000,2016-01-01,262.43318613352864,235.8717338709677,428.9652991189088,84.86824061857779,No
Building_Code-B1-Account_ID-1000,2016-02-01,324.4155691581485,225.11892241379311,535.8427674262914,155.05178033441751,No
Building_Code-B1-Account_ID-1000,2016-03-01,224.88243100433232,250.4890700104493,407.26356127182333,33.34572222506681,No
Building_Code-B1-Account_ID-1000,2016-04-01,266.889813759473,270.0429989550679,443.084766336021,83.82302730789678,No
Building_Code-B1-Account_ID-1000,2016-05-01,323.520363627718,340.1527586206896,497.8741893107927,126.90420718850926,No
Building_Code-B1-Account_ID-1000,2016-06-01,325.40315311984176,355.98181818181814,499.59156579610743,148.08937840912873,No
Building_Code-B1-Account_ID-1000,2016-07-01,354.2263580328263,386.240250783699,535.0373879756363,188.3497563629029,No
Building_Code-B1-Account_ID-1000,2016-08-01,370.0277367306086,401.63862068965517,551.0943306147266,197.71205043643695,No
Building_Code-B1-Account_ID-1000,2016-09-01,264.55707348589857,274.69431034482756,446.8722319250114,69.89498049905568,No
Building_Code-B1-Account_ID-1000,2016-10-01,194.17480999474623,194.0536206896552,370.55199114904696,-30.4827212091386,No
Building_Code-B1-Account_ID-1000,2016-11-01,214.1862203982432,222.48137931034483,390.84894015278303,11.971048396455478,No
Building_Code-B1-Account_ID-1000,2016-12-01,236.7339949259889,344.6760606060606,411.86626229824896,60.89779682073634,No
Building_Code-B1-Account_ID-1000,2017-01-01,374.28531849391777,391.51965367965363,569.7193891573006,173.14013184970435,No
Building_Code-B1-Account_ID-1000,2017-02-01,279.4633669373231,298.7892857142857,469.87772356914337,89.12902367305226,No
Building_Code-B1-Account_ID-1000,2017-03-01,264.6068714500159,271.2204545454546,431.4681425723494,104.39355336023297,No
Building_Code-B1-Account_ID-1000,2017-04-01,234.9903585786084,268.06902821316606,408.37181834005156,52.90534994736636,No
Building_Code-B1-Account_ID-1000,2017-05-01,277.24426548198176,306.4155172413793,443.0309905796552,104.58910753026078,No
Building_Code-B1-Account_ID-1000,2017-06-01,277.06522188732515,260.204375,439.6697256733022,106.018772395498,No
Building_Code-B1-Account_ID-1000,2017-07-01,324.2761726886315,271.27665948275865,479.2883716888023,169.470984985883,No
Building_Code-B1-Account_ID-1000,2017-08-01,339.45424503620075,273.98096551724143,506.887680103165,162.2702181317369,No
Building_Code-B1-Account_ID-1000,2017-09-01,247.3675378244286,231.0512258064516,408.33549306112,82.31165358186432,No
Building_Code-B1-Account_ID-1000,2017-10-01,191.8320126500958,227.5021075268817,353.47433415484403,24.395978971115806,No
Building_Code-B1-Account_ID-1000,2017-11-01,180.4522013817957,186.11692473118282,348.54311781035733,0.8121415359641413,No
Building_Code-B1-Account_ID-1000,2017-12-01,173.9602418178899,83.91774193548387,352.0990949432712,10.397503937443803,No
Building_Code-B10-Account_ID-1026,2017-03-01,11957.505789919654,9665.416129032255,92803.83667856222,-68569.9589379139,No
Building_Code-B10-Account_ID-1026,2017-04-01,25309.90566131771,16290.337870967742,114318.9391405952,-50927.40061274124,No
Building_Code-B10-Account_ID-1026,2017-05-01,21873.709171833758,19762.116,103413.0099114375,-74542.12118028605,No
Building_Code-B10-Account_ID-1026,2017-06-01,26994.76469366522,24031.519375,111220.33905184107,-59439.97977191456,No
Building_Code-B10-Account_ID-1026,2017-07-01,25660.05278829373,30294.94407327587,102229.11674444395,-61868.76643346668,No
Building_Code-B10-Account_ID-1026,2017-08-01,40469.425550400265,34072.400551724146,158784.8662416534,-52390.43599395528,No
Building_Code-B10-Account_ID-1026,2017-09-01,39788.933230007526,39913.25729032259,127147.13992438735,-37002.12095129713,No
Building_Code-B10-Account_ID-1026,2017-10-01,46657.68017463253,48304.96388209122,128534.415119531,-42905.24748922057,No
Building_Code-B10-Account_ID-1026,2017-11-01,45072.433650138715,54403.29639008621,121658.82783105657,-32970.416655626366,No
