Building_Meter,FALSE,TRUE,PCNT
139.0 - BLD 01_7382887,101,2,0.019417476
139.0 - BLD 02_8300567,66,2,0.029411765
14.0 - INGERSOLL BLD 17_8661656,97,4,0.03960396
14.0 - INGERSOLL BLD 19_8478521,77,1,0.012820513
14.0 - INGERSOLL BLD 20_8572287,99,2,0.01980198
14.0 - INGERSOLL BLD 21_8572284,97,4,0.03960396
14.0 - INGERSOLL BLD 22_8478507,98,1,0.01010101
14.0 - INGERSOLL BLD 23_8572285,100,1,0.00990099
14.0 - INGERSOLL BLD 24_8478484,78,1,0.012658228
14.0 - INGERSOLL BLD 25_8478523,79,1,0.0125
14.0 - INGERSOLL BLD 26_8478502,75,1,0.013157895
14.0 - INGERSOLL BLD 27_8478524,79,1,0.0125
14.0 - INGERSOLL BLD 28_8478482,78,1,0.012658228
14.0 - INGERSOLL BLD 31_8572288,100,1,0.00990099
14.0 - INGERSOLL BLD 33_8572281,100,1,0.00990099
14.0 - INGERSOLL BLD 34_8572282,100,1,0.00990099
14.0 - INGERSOLL BLD 35_8572289,99,2,0.01980198
14.0 - INGERSOLL BLD 36_8478505,100,1,0.00990099
14.0 - NA_8478483,72,1,0.01369863
140.0 - BLD 02_8095585,100,3,0.029126214
140.0 - BLD 05_8095058,97,1,0.010204082
141.0 - BLD 01_8570520,50,2,0.038461538
141.0 - BLD 04_8095575,100,3,0.029126214
142.0 - BLD 01_7225275,95,8,0.077669903
142.0 - BLD 02_5536425,101,2,0.019417476
142.0 - BLD 03_2585398,98,5,0.048543689
143.0 - BLD 01_7272173,97,6,0.058252427
145.0 - BLD 04_8125366,96,7,0.067961165
145.0 - BLD 07_8009943,100,3,0.029126214
147.0 - BLD 08_7152047,99,4,0.038834951
148.0 - BLD 18_7834064,98,2,0.02
149.0 - BLD 01_8362615,101,2,0.019417476
149.0 - BLD 02_8362616,62,2,0.03125
149.0 - BLD 02_8362617,62,2,0.03125
149.0 - BLD 03_8362614,101,2,0.019417476
149.0 - BLD 04_7263111,101,2,0.019417476
15.0 - BLD 01_7890006,100,3,0.029126214
15.0 - BLD 02_7890017,101,2,0.019417476
15.0 - BLD 03_7860023,99,4,0.038834951
15.0 - BLD 04_7890003,99,4,0.038834951
150.0 - BLD 01_7692844,71,3,0.040540541
151.0 - BLD 03_8746903,101,2,0.019417476
152.0 - BLD 10_7695070,98,4,0.039215686
153.0 - BLD 01_7837018,99,4,0.038834951
153.0 - BLD 02_7272240,100,3,0.029126214
154.0 - BLD 01_7574782,96,7,0.067961165
155.0 - BLD 01_7115642,95,8,0.077669903
156.0 - BLD 01_7573839,94,9,0.087378641
157.0 - BLD 11_8350354,99,4,0.038834951
157.0 - BLD 12_8298907,95,8,0.077669903
158.0 - BLD 01_6598945,97,6,0.058252427
159.0 - BLD 01_7176946,98,2,0.02
159.0 - BLD 01_7835171,97,6,0.058252427
16.0 - BLD 17_7249845,101,2,0.019417476
16.0 - BROWNSVILLE BLD 01_8125870,96,5,0.04950495
16.0 - BROWNSVILLE BLD 02_8322431,99,2,0.01980198
16.0 - BROWNSVILLE BLD 03_8322424,100,1,0.00990099
16.0 - BROWNSVILLE BLD 04_8095213,99,2,0.01980198
16.0 - BROWNSVILLE BLD 05_8125869,101,,0
16.0 - BROWNSVILLE BLD 07_8322437,100,1,0.00990099
16.0 - BROWNSVILLE BLD 08_8125866,97,1,0.010204082
16.0 - BROWNSVILLE BLD 09_8095207,100,1,0.00990099
16.0 - BROWNSVILLE BLD 11_8095208,100,1,0.00990099
16.0 - BROWNSVILLE BLD 12_8095205,99,2,0.01980198
16.0 - BROWNSVILLE BLD 13_8095216,100,1,0.00990099
16.0 - BROWNSVILLE BLD 14_8125619,99,2,0.01980198
16.0 - BROWNSVILLE BLD 15_8095211,100,1,0.00990099
16.0 - BROWNSVILLE BLD 16_8322413,99,2,0.01980198
16.0 - BROWNSVILLE BLD 18_8095212,100,1,0.00990099
16.0 - BROWNSVILLE BLD 19_8125626,100,1,0.00990099
16.0 - BROWNSVILLE BLD 21_8125620,99,2,0.01980198
16.0 - BROWNSVILLE BLD 22_8125621,100,1,0.00990099
16.0 - BROWNSVILLE BLD 23_8095214,100,1,0.00990099
16.0 - BROWNSVILLE BLD 24_8095203,100,1,0.00990099
16.0 - BROWNSVILLE BLD 25_8095215,100,1,0.00990099
16.0 - BROWNSVILLE BLD 26_8095310,100,1,0.00990099
