account,points,anomalies
302.0 - BLD 12_7517708,82,3
302.0 - BLD 13_8071773,101,2
302.0 - BLD 14_8881052,103,3
302.0 - BLD 15_4906172,103,0
302.0 - BLD 16_7161135,100,5
302.0 - BLD 17_7356812,103,4
302.0 - BLD 18_8071844,101,0
302.0 - BLD 19_5776059,103,2
302.0 - BLD 20_5919677,103,7
302.0 - BLD 21_7564361,103,5
302.0 - BLD 22_8071840,101,3
302.0 - BLD 23_7972648,101,0
302.0 - BLD 24_7423125,103,6
302.0 - BLD 25_6646996,103,0
303.0 - BLD 26_7423124,102,1
303.0 - BLD 27_7363429,103,4
303.0 - BLD 28_7442728,102,3
303.0 - BLD 29_7390591,103,3
303.0 - BLD 30_7423127,103,1
303.0 - BLD 31_8002323,103,1
303.0 - BLD 32_7210780,103,1
303.0 - BLD 33_7515357,103,3
303.0 - BLD 34_4911399,92,2
303.0 - BLD 35_7662909,103,0
303.0 - BLD 36_7442599,103,3
303.0 - BLD 37_8071839,103,0
303.0 - BLD 38_8444333,62,5
303.0 - BLD 39_7972649,103,9
303.0 - BLD 40_8074787,101,4
303.0 - BLD 41_7661684,103,7
303.0 - BLD 42_7390980,103,1
303.0 - BLD 43_8076491,80,0
303.0 - BLD 44_6360233,103,0
303.0 - BLD 45_7545428,103,6
303.0 - BLD 46_7347348,103,1
303.0 - BLD 47_7564364,103,1
303.0 - BLD 48_5775022,103,2
303.0 - BLD 49_7390981,103,2
303.0 - BLD 50_8165265,102,18
303.0 - BLD 51 - Community Center_6484303,103,1
304.0 - BLD 01_7114306,103,0
304.0 - BLD 02_7116709,103,5
304.0 - BLD 03_5646601,51,1
304.0 - BLD 03_8574015,50,4
304.0 - BLD 04_7382285,103,2
304.0 - BLD 05_6245330,103,0
305.0 - BLD 01_5389430,98,0
305.0 - BLD 01_7347051,97,3
305.0 - BLD 02_5931404,101,3
305.0 - BLD 02_7838309,101,2
305.0 - BLD 04_6671915,51,1
305.0 - BLD 04_8089783,100,18
307.0 - BLD 01_8561944,102,4
307.0 - BLD 02_8200763,83,0
307.0 - BLD 03_6243553,103,0
307.0 - BLD 04_7363075,103,0
307.0 - BLD 05_4012466,103,1
307.0 - BLD 06_8741239,103,7
308.0 - BLD 01_5017672,103,4
308.0 - BLD 01_5017684,103,0
308.0 - BLD 01_7405988,68,3
308.0 - BLD 02_8445002,103,4
308.0 - BLD 03_7930369,68,3
308.0 - BLD 04_7835151,103,2
308.0 - BLD 05_6621147,103,0
309.0 - BLD 01_5159431,103,2
309.0 - BLD 01_6383071,103,0
31.0 - ALBANY BLD 01_4580863,57,0
31.0 - ALBANY BLD 02_5081895,76,0
31.0 - ALBANY BLD 03_5081734,73,0
31.0 - ALBANY BLD 04_7662330,76,0
311.0 - BLD 01_4950319,103,0
311.0 - BLD 01_7250278,103,0
311.0 - BLD 02_5652259,69,2
311.0 - BLD 03_5704985,103,1
312.0 - BLD 01_8072876,102,11
312.0 - BLD 07_7908830,103,1
312.0 - BLD 1_7272594,103,0
312.0 - BLD 3_7908606,103,0
313.0 - BLD 01 - Community Center_7356823,102,0
313.0 - BLD 01_7891031,93,0
313.0 - BLD 02_7891032,102,14
313.0 - BLD 03_7891030,95,11
313.0 - BLD 04_7891029,102,8
313.0 - BLD 05_7908612,103,8
314.0 - BLD 01_5032388,103,14
314.0 - BLD 01_7404348,103,2
315.0 - BLD 01_4948246,102,6
315.0 - BLD 01_6625874,103,5
315.0 - BLD 02_4965362,102,2
315.0 - BLD 02_4965627,102,4
315.0 - BLD 02_7692834,103,1
315.0 - BLD 03 - Community Center_7703609,103,3
316.0 - BLD 01_4684400,102,6
316.0 - BLD 01_4684432,102,7
316.0 - BLD 01_4684454,102,12
316.0 - BLD 01_4946700,101,2
316.0 - BLD 01_4952060,102,1
316.0 - BLD 01_4952091,102,6
316.0 - BLD 01_4952101,102,4
316.0 - BLD 01_4952111,101,3
316.0 - BLD 01_4952115,102,7
316.0 - BLD 01_4952116,102,0
316.0 - BLD 01_4952135,69,7
316.0 - BLD 01_5003866,101,2
316.0 - BLD 01_5367449,102,9
316.0 - BLD 01_6938558,102,2
316.0 - BLD 01_7406023,102,3
32.0 - BLD 01_8322128,91,5
32.0 - BLD 02_8125316,91,6
32.0 - BLD 03_8093923,103,6
32.0 - BLD 04_8096650,103,4
32.0 - BLD 05_8096632,103,8
32.0 - BLD 06_8096633,103,5
32.0 - BLD 07_8096631,92,4
32.0 - BLD 07_8096637,92,9
32.0 - BLD 09_8096647,103,4
32.0 - BLD 10 - Community Center_7836344,103,6
324.0 - BLD 01_5423595,69,6
324.0 - BLD 02_4888149,103,2
324.0 - BLD 02_7390712,103,2
324.0 - BLD 03_7891053,101,0
324.0 - BLD 03_8466252,103,10
324.0 - BLD 04_7442721,94,3
324.0 - BLD 04_7706972,102,0
324.0 - BLD 05_7545431,101,0
324.0 - BLD 05_8881064,101,1
325.0 - BLD 01_7273048,101,3
325.0 - BLD 01_7382498,95,2
325.0 - BLD 02 - Community Center_8888116,101,2
325.0 - BLD 02_6505091,102,2
326.0 - BLD 01_6790321,103,1
326.0 - BLD 02_5647227,102,1
326.0 - BLD 03_7115356,103,0
326.0 - BLD 04_7268751,103,0
326.0 - BLD 05_7268750,103,0
329.0 - BLD 01_6246111,102,2
33.0 - BLD 01_8125819,82,6
33.0 - BLD 02_8125824,82,5
33.0 - BLD 03_8125827,82,4
33.0 - BLD 04_8125825,82,5
33.0 - BLD 05_8125823,82,2
33.0 - BLD 06_8125830,82,4
33.0 - BLD 07_8125834,82,1
33.0 - BLD 08_8125817,82,0
33.0 - BLD 09_8125822,82,6
33.0 - BLD 10_8125818,82,6
33.0 - BLD 11_8125828,82,6
33.0 - BLD 12_8125821,82,1
33.0 - BLD 13_8125820,82,7
33.0 - BLD 14_8125829,82,5
33.0 - BLD 15_8125833,82,4
33.0 - BLD 16_8125813,82,4
33.0 - BLD 17_8321870,82,7
33.0 - BLD 18_8125808,82,3
33.0 - BLD 19_8096392,82,8
33.0 - BLD 20_8125814,82,3
330.0 - BLD 01_7913169,102,4
330.0 - BLD 02_6548490,72,4
331.0 - BLD 03_7268716,103,10
331.0 - BLD 04_6679825,103,10
333.0 - BLD 01_8561083,103,15
334.0 - BLD 01_8002479,103,3
334.0 - BLD 02_8093141,103,0
334.0 - BLD 03_7836967,101,0
334.0 - BLD 03_8084241,101,4
335.0 - BLD 01_6245931,103,0
335.0 - BLD 02_6242998,99,1
335.0 - BLD 03_8443906,62,0
335.0 - BLD 04_6036736,103,0
335.0 - BLD 05_8319562,66,3
335.0 - BLD 06_6540508,103,0
335.0 - BLD 07_7295341,101,0
335.0 - BLD 08_7518002,103,1
335.0 - BLD 09_6671626,103,0
336.0 - BLD 01_7545119,103,0
336.0 - BLD 02_7834992,103,3
336.0 - BLD 03_7719769,103,1
337.0 - BLD 02_8076862,102,16
337.0 - BLD 03_5503301,98,0
337.0 - BLD 03_5503302,103,9
337.0 - BLD 03_5651747,96,3
337.0 - BLD 04_5427055,97,6
337.0 - BLD 04_7346971,100,0
337.0 - BLD 05_7295772,103,3
338.0 - BLD 01_6246539,103,1
338.0 - BLD 02_5329661,103,5
338.0 - BLD 03_7690748,102,2
338.0 - BLD 04_6617365,102,0
338.0 - BLD 04_7505176,102,5
338.0 - BLD 05_6651022,100,6
338.0 - BLD 05_8375549,62,0
338.0 - BLD 06_7663421,103,1
338.0 - BLD 07_7264499,103,0
339.0 - BLD 01_8072899,101,1
339.0 - BLD 02_7951784,103,2
339.0 - BLD 02_7951785,103,5
339.0 - BLD 02_7972625,101,2
339.0 - BLD 03_8072894,95,2
339.0 - BLD 04_7660317,102,0
339.0 - BLD 05_5429735,102,0
34.0 - BLD 01_7929840,103,4
34.0 - BLD 02_7929846,103,4
34.0 - BLD 03_7860095,103,6
34.0 - BLD 04_7929825,103,3
34.0 - BLD 05_7860107,103,3
34.0 - BLD 06_7929830,103,5
34.0 - BLD 07_8008347,103,7
34.0 - BLD 08_8096728,103,4
34.0 - BLD 09_7929928,103,2
34.0 - BLD 10_7929845,103,3
340.0 - BLD 01_7272396,82,0
340.0 - BLD 01_7334265,82,5
341.0 - BLD 01_7706532,103,0
341.0 - BLD 02_6311007,103,1
341.0 - BLD 03_7505179,103,0
341.0 - BLD 04_7835072,103,2
342.0 - BLD 01_6382700,101,0
342.0 - BLD 01_8089804,101,0
343.0 - BLD 01_4585919,103,0
343.0 - BLD 01_4587383,103,2
343.0 - BLD 01_4588085,103,7
343.0 - BLD 01_4589156,103,0
343.0 - BLD 01_4591105,103,0
343.0 - BLD 01_4609856,103,5
343.0 - BLD 01_4613122,103,7
343.0 - BLD 01_4651458,103,5
343.0 - BLD 01_4817430,103,3
343.0 - BLD 01_5096104,103,5
343.0 - BLD 01_5096992,103,14
343.0 - BLD 01_5106231,103,2
343.0 - BLD 01_5116615,103,2
343.0 - BLD 01_5116640,103,3
343.0 - BLD 01_5135198,103,2
343.0 - BLD 01_5165466,103,5
343.0 - BLD 01_5169035,103,0
343.0 - BLD 01_5308256,103,2
343.0 - BLD 01_5470999,103,8
343.0 - BLD 01_6911424,103,0
343.0 - BLD 01_7613341,103,3
344.0 - BLD 01_8200623,99,1
345.0 - BLD 01_8074665,103,0
345.0 - BLD 02_8074670,103,1
345.0 - BLD 03_7564319,103,0
346.0 - BLD 01_8443716,103,1
346.0 - BLD 02_8506872,61,6
346.0 - BLD 03_8298891,103,0
347.0 - BLD 01_7821818,103,1
348.0 - BLD 01_8559220,103,3
348.0 - BLD 02_7864477,53,0
348.0 - BLD 03_8072875,103,7
35.0 - BLD 05_8008857,103,7
351.0 - BLD 01_8558900,103,3
351.0 - BLD 02_8002300,103,0
351.0 - BLD 03_8558927,103,6
351.0 - BLD 04_5301136,61,1
351.0 - BLD 04_7371966,102,3
351.0 - BLD 06_8074788,100,9
351.0 - BLD 07_8002301,97,2
351.0 - BLD 09_8072874,102,0
352.0 - BLD 01_7707533,103,2
352.0 - BLD 03_6414930,103,3
352.0 - BLD 03_7855286,103,3
352.0 - BLD 04_7390699,103,1
352.0 - BLD 05_6789690,103,1
353.0 - BLD 01_5378902,97,5
353.0 - BLD 01_6566083,100,2
353.0 - BLD 01_7382395,101,1
353.0 - BLD 02_7838211,101,3
354.0 - BLD 01_7707460,88,5
354.0 - BLD 02_7248220,103,0
354.0 - BLD 02_7754374,98,6
354.0 - BLD 02_7754375,103,13
354.0 - BLD 03_7864437,103,9
354.0 - BLD 04_8560244,50,4
354.0 - BLD 05_7864435,103,0
354.0 - BLD 06_7689728,103,3
354.0 - BLD 07_7864482,103,5
354.0 - BLD 08_7661513,103,1
355.0 - BLD 01_7406192,103,1
355.0 - BLD 01_7906666,103,2
356.0 - BLD 01_6844157,101,1
356.0 - BLD 02_7382284,101,2
356.0 - BLD 03_6385701,55,0
356.0 - BLD 04_6766530,101,6
356.0 - BLD 05_7382287,101,0
356.0 - BLD 06_6385578,101,0
357.0 - BLD 01_7821110,103,5
357.0 - BLD 02_6143488,102,0
357.0 - BLD 03_7864272,103,0
357.0 - BLD 04_7449953,101,14
358.0 - BLD 02_7972624,103,0
358.0 - BLD 03_7891078,103,0
359.0 - BLD 01_6498473,103,2
360.0 - BLD 02_7406050,103,3
360.0 - BLD 03_6626072,103,0
360.0 - BLD 04_7821275,103,1
362.0 - BLD 01_5651104,103,2
362.0 - BLD 02_5705166,96,2
363.0 - BLD 01_7247458,101,5
364.0 - BLD 01_6315677,103,1
364.0 - BLD 02_8562414,57,1
365.0 - BLD 01_8560238,86,2
365.0 - BLD 03_8444065,103,2
365.0 - BLD 04_8559292,62,0
365.0 - BLD 05_8444073,61,0
365.0 - BLD 06_7907868,103,1
365.0 - BLD 07_8002302,101,0
365.0 - BLD 07_8090262,70,7
365.0 - BLD 08_8444076,80,6
366.0 - BLD 01_8444088,61,1
366.0 - BLD 02_8444086,103,0
366.0 - BLD 03_8558926,103,6
366.0 - BLD 04_8074789,102,2
366.0 - BLD 05_8072898,101,1
367.0 - BLD 02_8185231,82,0
367.0 - BLD 05_7245306,103,0
367.0 - BLD 07_6540562,103,3
367.0 - BLD 10_6565900,103,4
367.0 - BLD 13_5706393,103,2
368.0 - BLD 01_8444074,103,4
368.0 - BLD 02_8298393,54,2
368.0 - BLD 03_8712542,103,4
368.0 - BLD 04_6621062,103,0
368.0 - BLD 05_7663190,103,0
368.0 - BLD 06_5777987,103,1
368.0 - BLD 07_8072900,103,2
369.0 - BLD 01_6249766,103,4
369.0 - BLD 02_6249758,93,5
369.0 - BLD 03_8072571,103,4
37.0 - BLD 01_8478380,64,4
37.0 - BLD 02_8266790,77,3
37.0 - BLD 03_8266792,99,3
37.0 - BLD 04_8266797,77,3
37.0 - BLD 05_8266791,99,3
37.0 - BLD 06_8266788,99,6
37.0 - BLD 07_8266785,77,5
37.0 - BLD 08_8266789,77,5
370.0 - BLD 02_7297380,102,7
370.0 - BLD 02_8382880,100,1
370.0 - BLD 03_6244352,102,2
370.0 - BLD 04_6244328,103,5
371.0 - BLD 01_8544035,101,3
371.0 - BLD 02_6319404,102,0
371.0 - BLD 02_7161124,102,0
371.0 - BLD 03_6504691,102,2
377.0 - BLD 01_8924393,103,2
377.0 - BLD 02_6036169,103,0
377.0 - BLD 03_8769564,103,5
377.0 - BLD 04_6528917,103,2
377.0 - BLD 05_6707470,103,11
377.0 - BLD 06_7890555,103,0
377.0 - BLD 07_7356333,103,14
377.0 - BLD 08_7356676,103,1
377.0 - BLD 09_7406139,102,5
377.0 - BLD 10_8023048,103,0
377.0 - BLD 11_5777838,103,1
377.0 - BLD 12_7165648,103,6
377.0 - BLD 13_6034136,103,3
377.0 - BLD 14_7356150,103,0
377.0 - BLD 15_6728853,103,2
377.0 - BLD 16_5646184,102,2
377.0 - BLD 17_7372018,103,0
377.0 - BLD 18_8096131,103,1
377.0 - BLD 19_6882299,103,2
377.0 - BLD 20_8404464,62,1
377.0 - BLD 21_5932559,103,3
377.0 - BLD 22_7890509,103,1
377.0 - BLD 23_6034130,102,2
377.0 - BLD 24_7423404,103,5
377.0 - BLD 25_7405987,103,1
377.0 - BLD 26_7207900,103,0
377.0 - BLD 27_7821988,103,0
377.0 - BLD 28_7356331,103,2
377.0 - BLD 29_6539605,103,3
377.0 - BLD 30_5931752,103,0
377.0 - BLD 31_7356315,103,6
377.0 - BLD 32_7707116,103,6
377.0 - BLD 33_7837960,103,0
377.0 - BLD 34_6029018,103,2
377.0 - BLD 35_5922035,103,0
377.0 - BLD 36_7707614,103,0
377.0 - BLD 37_7406138,103,4
377.0 - BLD 38_8466768,60,0
377.0 - BLD 44_6852237,103,9
377.0 - BLD 45_7564288,103,2
377.0 - BLD 48 - Community Center_5705928,103,3
377.0 - BLD 48 - Community Center_5922581,103,1
377.0 - BLD 48 - Community Center_7706326,103,2
38.0 - BLD 01_8266800,79,2
38.0 - BLD 02_8266813,79,4
38.0 - BLD 03_8266814,79,4
38.0 - BLD 05_8266806,79,2
38.0 - BLD 06_8266805,79,4
38.0 - BLD 07_8322045,79,1
38.0 - BLD 08_8661635,79,4
38.0 - BLD 09_8478444,79,2
38.0 - BLD 10_8266809,79,5
38.0 - BLD 11_8266808,79,2
38.0 - BLD 13_8266811,79,5
389.0 - BLD 39_6699106,103,0
389.0 - BLD 40_7406150,103,1
389.0 - BLD 41_5912442,103,0
389.0 - BLD 42_5932522,103,1
389.0 - BLD 43_7025285,103,15
39.0 - BLD 01_7929837,102,5
39.0 - BLD 02_7929786,101,6
39.0 - BLD 03_7890053,102,1
39.0 - BLD 04_8094064,102,2
39.0 - BLD 04_8095282,101,5
39.0 - BLD 05_8008964,101,1
39.0 - BLD 06_7929839,101,3
39.0 - BLD 07_7700760,103,4
39.0 - BLD 07_8008955,101,5
39.0 - BLD 09_7890025,101,2
39.0 - BLD 10_7890032,101,1
39.0 - BLD 11_7860121,102,5
39.0 - BLD 12_7860131,103,1
39.0 - BLD 14_7929835,101,3
39.0 - BLD 15_7860139,102,8
39.0 - BLD 15_7929828,101,2
39.0 - BLD 16_7889937,103,2
39.0 - BLD 17_7889893,103,4
39.0 - BLD 18_8095572,103,1
39.0 - BLD 19_8125345,103,3
39.0 - BLD 20_8095571,103,4
39.0 - BLD 21_8125346,103,6
39.0 - BLD 22_8095568,103,5
39.0 - BLD 23_8095570,103,9
398.0 - BLD 46_7390756,103,1
399.0 - BLD 47_6145129,103,2
4.0 - RED HOOK EAST BLD 14_6541124,69,4
40.0 - BLD 01_7889978,103,5
40.0 - BLD 02_8095576,103,4
40.0 - BLD 03_8095573,103,6
40.0 - BLD 04_8095235,103,3
40.0 - BLD 05_8093972,103,2
40.0 - BLD 06_8093936,103,4
41.0 - BLD 01_8142948,64,3
41.0 - BLD 02_8142950,64,6
41.0 - BLD 03_8142947,64,4
41.0 - BLD 04_8142957,64,6
41.0 - BLD 05_8142949,64,5
41.0 - BLD 06_8142951,64,4
41.0 - BLD 07_8142976,64,5
41.0 - BLD 08_8142941,64,1
42.0 - BLD 07_8008856,103,3
44.0 - BLD 15 - Community Center_8078327,99,4
45.0 - BLD 01_7859814,103,4
45.0 - BLD 02_7929773,103,7
45.0 - BLD 03_7860101,103,6
45.0 - BLD 04_7890058,103,3
45.0 - BLD 06_7859944,103,4
45.0 - BLD 06_7929778,103,4
45.0 - BLD 07_7859876,103,7
47.0 - BLD 01_7860124,102,5
47.0 - BLD 02_7929779,102,3
47.0 - BLD 03_7929577,102,4
47.0 - BLD 04_7890045,102,2
47.0 - BLD 05_7929706,102,6
47.0 - BLD 06_7930082,102,2
47.0 - BLD 07_7929578,102,4
47.0 - BLD 08_7890060,102,6
47.0 - BLD 09_7930083,102,3
47.0 - BLD 10_7929709,102,4
47.0 - BLD 11_7929788,102,6
47.0 - BLD 14_7929701,102,1
48.0 - BLD 01_8096926,81,2
48.0 - BLD 01_8125734,81,4
48.0 - BLD 02_8125735,81,2
48.0 - BLD 03_8125718,81,2
48.0 - BLD 04_8125744,81,0
48.0 - BLD 06_8125736,81,3
48.0 - BLD 07_8125715,81,5
48.0 - BLD 09_8125741,81,0
48.0 - BLD 10_8125739,81,2
48.0 - BLD 11_8125728,81,0
48.0 - BLD 12_8125743,81,3
48.0 - BLD 13_8125722,82,2
48.0 - BLD 14_8125714,81,2
48.0 - BLD 14_8125724,81,5
48.0 - BLD 15_8125742,81,3
48.0 - BLD 16_8125729,81,1
48.0 - BLD 17_7834071,81,3
48.0 - BLD 18_8125719,81,3
48.0 - BLD 19_8125738,81,1
48.0 - BLD 20_8096925,81,4
48.0 - BLD 21_8125732,81,4
48.0 - BLD 21_8125737,81,2
48.0 - BLD 22_8125727,81,1
48.0 - BLD 23_8125726,81,3
48.0 - BLD 24_8125709,81,4
48.0 - BLD 25_8125731,81,1
48.0 - BLD 26_8125720,81,3
48.0 - BLD 27_8125721,81,3
48.0 - BLD 27_8125725,81,2
48.0 - BLD 30_8125733,81,1
48.0 - BLD 31_8125730,81,3
49.0 - BLD 01_8095303,101,3
49.0 - BLD 02_8095304,101,5
49.0 - BLD 03_8095318,101,4
49.0 - BLD 04_8096592,87,2
49.0 - BLD 05_8093909,87,5
49.0 - BLD 06_8093910,101,4
49.0 - BLD 07_8093912,88,3
49.0 - BLD 07_8093922,88,6
49.0 - BLD 08_8096395,101,4
49.0 - BLD 09_8093911,101,2
49.0 - BLD 10_8362683,67,3
5.0 - NA_7526742,58,5
5.0 - QUEENSBRIDGE SOUTH BLD 05_8093806,78,0
5.0 - QUEENSBRIDGE SOUTH BLD 05_8093808,76,4
5.0 - QUEENSBRIDGE SOUTH BLD 05_8093824,78,0
5.0 - QUEENSBRIDGE SOUTH BLD 05_8125693,78,2
5.0 - QUEENSBRIDGE SOUTH BLD 05_8125697,78,1
5.0 - QUEENSBRIDGE SOUTH BLD 06_8093817,78,0
5.0 - QUEENSBRIDGE SOUTH BLD 06_8093826,78,2
5.0 - QUEENSBRIDGE SOUTH BLD 06_8093827,78,4
5.0 - QUEENSBRIDGE SOUTH BLD 07_8093809,70,3
5.0 - QUEENSBRIDGE SOUTH BLD 07_8093828,78,3
5.0 - QUEENSBRIDGE SOUTH BLD 08_8093903,70,1
5.0 - QUEENSBRIDGE SOUTH BLD 14_8093805,78,0
5.0 - QUEENSBRIDGE SOUTH BLD 15_8093812,78,1
5.0 - QUEENSBRIDGE SOUTH BLD 16_8093813,75,7
5.0 - QUEENSBRIDGE SOUTH BLD 16_8321833,59,4
5.0 - QUEENSBRIDGE SOUTH BLD 17_8125706,78,4
5.0 - QUEENSBRIDGE SOUTH BLD 25_8093807,78,0
5.0 - QUEENSBRIDGE SOUTH BLD 25_8093818,78,0
5.0 - QUEENSBRIDGE SOUTH BLD 26_8093821,76,2
5.0 - QUEENSBRIDGE SOUTH BLD 26_8093822,78,1
50.0 - LEXINGTON BLD 01_8266716,76,0
50.0 - LEXINGTON BLD 02_8094991,75,0
50.0 - LEXINGTON BLD 03_8094988,76,0
50.0 - LEXINGTON BLD 04_8661576,76,1
502.0 - BLD 13_7837118,100,8
502.0 - BLD 14_7821335,95,6
502.0 - BLD 15_6316156,64,2
502.0 - BLD 17_6370135,100,1
505.0 - QUEENSBRIDGE NORTH BLD 01_8093823,78,2
505.0 - QUEENSBRIDGE NORTH BLD 01_8125698,78,2
505.0 - QUEENSBRIDGE NORTH BLD 02_8125696,78,2
505.0 - QUEENSBRIDGE NORTH BLD 03_8125694,78,2
505.0 - QUEENSBRIDGE NORTH BLD 04_8093819,78,0
505.0 - QUEENSBRIDGE NORTH BLD 09_8125705,78,1
505.0 - QUEENSBRIDGE NORTH BLD 10_8125699,78,2
505.0 - QUEENSBRIDGE NORTH BLD 11_8093816,78,1
505.0 - QUEENSBRIDGE NORTH BLD 12_8125700,78,4
505.0 - QUEENSBRIDGE NORTH BLD 13_8093802,78,2
505.0 - QUEENSBRIDGE NORTH BLD 19_8093803,78,5
505.0 - QUEENSBRIDGE NORTH BLD 19_8093804,78,3
505.0 - QUEENSBRIDGE NORTH BLD 19_8093814,78,4
505.0 - QUEENSBRIDGE NORTH BLD 20_8125692,78,4
505.0 - QUEENSBRIDGE NORTH BLD 21_8093722,78,6
505.0 - QUEENSBRIDGE NORTH BLD 21_8093820,78,3
505.0 - QUEENSBRIDGE NORTH BLD 21_8125691,78,3
505.0 - QUEENSBRIDGE NORTH BLD 22_8125695,78,2
505.0 - QUEENSBRIDGE NORTH BLD 27_8096414,78,5
51.0 - BLD 01_99267717,103,3
51.0 - BLD 02 - Community Center_99822181,103,2
51.0 - BLD 02_96737637,102,6
51.0 - BLD 03_99267716,103,0
51.0 - BLD 04_99267714,101,0
51.0 - BLD 05_96747235,103,2
51.0 - BLD 06_96747190,103,1
51.0 - BLD 07_96747169,103,0
514.0 - BLD 03_7545228,103,7
514.0 - BLD 39 - Community Center_7210050,76,2
514.0 - WHITMAN BLD 01_8478528,100,5
514.0 - WHITMAN BLD 02_8661655,101,2
514.0 - WHITMAN BLD 03_8478530,101,3
514.0 - WHITMAN BLD 04_8478499,101,2
514.0 - WHITMAN BLD 05_8478529,101,4
514.0 - WHITMAN BLD 06_8478527,101,2
514.0 - WHITMAN BLD 07_8478500,101,3
514.0 - WHITMAN BLD 08_8478525,101,2
514.0 - WHITMAN BLD 09_8478532,101,2
514.0 - WHITMAN BLD 10_8572283,99,3
514.0 - WHITMAN BLD 11_8478531,101,2
514.0 - WHITMAN BLD 12_8572286,101,2
514.0 - WHITMAN BLD 13_8478504,100,2
514.0 - WHITMAN BLD 14_8478498,101,1
514.0 - WHITMAN BLD 15_8478526,101,2
514.0 - WHITMAN BLD 37_7144190,74,3
514.0 - WHITMAN BLD 38_7930310,101,4
515.0 - BLD 04_6249681,103,2
515.0 - BLD 04_6458091,103,6
516.0 - BLD 01_6249905,103,1
516.0 - NA_6505090,103,3
516.0 - NA_6940027,102,5
517.0 - BLD 01_5649351,93,1
518.0 - BLD 03_7391545,101,0
519.0 - BLD 01_6498538,103,0
519.0 - BLD 02_7821074,103,2
52.0 - BLD 01_8008858,103,4
520.0 - BLD 04_6370204,101,5
521.0 - BLD 06_7176981,103,1
523.0 - BLD 02_6247827,103,5
523.0 - BLD 03_7265340,103,6
523.0 - BLD 04_8745700,103,0
523.0 - BLD 05_5786116,103,3
523.0 - BLD 06_6145323,102,10
523.0 - BLD 07_6314557,103,2
523.0 - BLD 08_6990892,103,2
524.0 - BLD 07_6763674,103,9
525.0 - BLD 08_6095763,103,8
525.0 - BLD 08_7209364,103,4
525.0 - BLD 09_6990373,103,3
525.0 - BLD 10_7209362,103,2
526.0 - BLD 02_7275150,102,6
53.0 - BLD 01_7929814,101,3
53.0 - BLD 02_7929791,101,3
53.0 - BLD 03_8478490,101,4
53.0 - BLD 04_7929985,101,4
53.0 - BLD 07_7929982,101,12
53.0 - BLD 09_7929987,101,1
53.0 - BLD 10_7929800,101,3
53.0 - BLD 11_7929888,101,4
53.0 - BLD 16_7929823,101,2
53.0 - BLD 17_7929892,101,0
53.0 - BLD 18_7929889,101,4
53.0 - BLD 20_7929976,101,5
53.0 - BLD 22_8322223,101,0
53.0 - BLD 23_7929970,101,4
53.0 - BLD 24_7929808,101,0
53.0 - BLD 25_7929811,101,6
53.0 - BLD 26_7929804,101,7
53.0 - BLD 27_7929824,101,8
53.0 - BLD 28_7929819,101,3
53.0 - BLD 29_7929986,101,4
53.0 - BLD 30_7929980,101,4
53.0 - BLD 31_7929803,101,6
53.0 - BLD 32_7929806,101,4
53.0 - BLD 33_7929993,101,0
53.0 - BLD 34_7929969,101,2
53.0 - BLD 35_7929992,101,3
531.0 - BLD 04_7030740,103,5
531.0 - BLD 05_7403293,103,2
531.0 - BLD 06_6560246,103,7
54.0 - BLD 01_8125336,93,6
54.0 - BLD 02_8125333,93,8
54.0 - BLD 03_8125332,93,5
54.0 - BLD 04_8125335,93,3
54.0 - BLD 05_8125337,93,5
547.0 - BLD 01_5647136,50,2
547.0 - BLD 02_7821817,102,0
547.0 - BLD 03_5922683,102,0
547.0 - BLD 04_7821819,103,1
547.0 - BLD 3_5223456,58,0
55.0 - BLD 02_301197,103,18
559.0 - BLD 01_6842587,103,0
56.0 - BLD 01_8572100,103,6
56.0 - BLD 02_8572095,103,4
56.0 - BLD 03_8572093,103,6
56.0 - BLD 04_8572071,103,7
56.0 - BLD 05_8572099,103,6
56.0 - BLD 06_8572075,103,6
56.0 - BLD 07_8572098,103,2
56.0 - BLD 08_8572072,103,6
56.0 - BLD 09_8572069,93,1
56.0 - BLD 10_8572097,103,7
56.0 - BLD 11_8572074,103,6
56.0 - BLD 12_8572079,103,6
56.0 - BLD 13_8572103,103,9
56.0 - BLD 14_8572076,103,7
56.0 - BLD 15_8572073,103,7
56.0 - BLD 16_8572068,103,4
56.0 - BLD 17_8572091,103,6
56.0 - BLD 18_8572092,103,10
56.0 - BLD 19_8572065,103,5
56.0 - BLD 20_8301112,103,6
56.0 - BLD 21_8572066,103,6
56.0 - BLD 22_8572089,103,6
56.0 - BLD 23_8572096,103,5
56.0 - BLD 24_8572080,103,6
56.0 - BLD 25_8572090,103,5
56.0 - BLD 26_8572077,103,6
56.0 - BLD 27_8572067,103,6
56.0 - BLD 28_8572094,103,7
56.0 - BLD 29_8572078,103,6
56.0 - BLD 30_8572070,103,5
56.0 - BLD 32_8301113,103,6
57.0 - BLD 01_7929617,88,1
57.0 - BLD 02_7929948,88,0
57.0 - BLD 03_8096629,88,4
57.0 - BLD 04_7929949,88,1
57.0 - BLD 05_8322059,88,0
57.0 - BLD 06_7929950,72,4
57.0 - BLD 07_7929947,72,1
57.0 - BLD 08_7929612,88,4
57.0 - BLD 10_7929934,88,3
57.0 - BLD 11_8096634,88,2
57.0 - BLD 12_7929592,88,2
57.0 - BLD 13_7929863,88,5
