account,points,anomalies
149.0 - BLD 03_8362614,103,6
149.0 - BLD 04_7263111,103,2
15.0 - BLD 01_7890006,103,4
15.0 - BLD 02_7890017,103,4
15.0 - BLD 03_7860023,103,3
15.0 - BLD 04_7890003,103,2
150.0 - BLD 01_7692844,74,1
151.0 - BLD 03_8746903,103,0
152.0 - BLD 10_7695070,102,5
153.0 - BLD 01_7837018,103,4
153.0 - BLD 02_7272240,103,2
154.0 - BLD 01_7574782,103,0
155.0 - BLD 01_7115642,103,6
156.0 - BLD 01_7573839,103,3
157.0 - BLD 11_8350354,103,0
157.0 - BLD 12_8298907,103,3
158.0 - BLD 01_6598945,103,5
159.0 - BLD 01_7176946,100,5
159.0 - BLD 01_7835171,103,3
16.0 - BLD 17_7249845,103,2
16.0 - BROWNSVILLE BLD 01_8125870,101,2
16.0 - BROWNSVILLE BLD 02_8322431,101,3
16.0 - BROWNSVILLE BLD 03_8322424,101,0
16.0 - BROWNSVILLE BLD 04_8095213,101,3
16.0 - BROWNSVILLE BLD 05_8125869,101,11
16.0 - BROWNSVILLE BLD 07_8322437,101,0
16.0 - BROWNSVILLE BLD 08_8125866,98,1
16.0 - BROWNSVILLE BLD 09_8095207,101,0
16.0 - BROWNSVILLE BLD 11_8095208,101,1
16.0 - BROWNSVILLE BLD 12_8095205,101,3
16.0 - BROWNSVILLE BLD 13_8095216,101,0
16.0 - BROWNSVILLE BLD 14_8125619,101,0
16.0 - BROWNSVILLE BLD 15_8095211,101,1
16.0 - BROWNSVILLE BLD 16_8322413,101,2
16.0 - BROWNSVILLE BLD 18_8095212,101,0
16.0 - BROWNSVILLE BLD 19_8125626,101,4
16.0 - BROWNSVILLE BLD 21_8125620,101,1
16.0 - BROWNSVILLE BLD 22_8125621,101,0
16.0 - BROWNSVILLE BLD 23_8095214,101,0
16.0 - BROWNSVILLE BLD 24_8095203,101,5
16.0 - BROWNSVILLE BLD 25_8095215,101,1
16.0 - BROWNSVILLE BLD 26_8095310,101,3
16.0 - BROWNSVILLE BLD 27_8095218,101,0
160.0 - BLD 01_7382890,103,3
161.0 - BLD 17_5536418,101,6
162.0 - BLD 01_8074911,103,6
162.0 - BLD 02_7908851,103,6
162.0 - BLD 03_8074912,103,6
163.0 - BLD 02_8096666,103,4
163.0 - BLD 03_8096664,103,4
163.0 - BLD 03_8096667,103,6
164.0 - BLD 01_96973681,103,1
165.0 - BLD 01_99800299,103,5
165.0 - BLD 02_99261420,103,1
165.0 - BLD 03_90327795,103,3
165.0 - BLD 04_99273488,103,1
166.0 - BLD 01_7251046,103,2
166.0 - BLD 02_8078169,103,3
166.0 - BLD 03_7404621,103,8
167.0 - BLD 01_7391017,103,2
168.0 - BLD 01_7025655,103,0
168.0 - BLD 02_7025653,103,4
168.0 - BLD 03_6938089,103,0
169.0 - BLD 01_7424127,101,2
169.0 - BLD 02_8078302,100,9
169.0 - BLD 03_8072598,99,7
169.0 - BLD 04_8078330,100,5
17.0 - BLD 10 - Community Center_8319537,66,2
17.0 - JOHNSON BLD 01_8093710,77,0
17.0 - JOHNSON BLD 02_8093704,77,0
17.0 - JOHNSON BLD 03_8093691,77,0
17.0 - JOHNSON BLD 04_8093699,77,0
17.0 - JOHNSON BLD 05_8093694,77,0
17.0 - JOHNSON BLD 06_8093709,77,0
17.0 - JOHNSON BLD 07_8093698,77,0
17.0 - JOHNSON BLD 08_8093708,77,0
17.0 - JOHNSON BLD 09_8093685,77,0
17.0 - JOHNSON BLD 10_8093703,77,0
17.0 - JOHNSON BLD 10_8096449,77,0
170.0 - BLD 01_7383523,69,7
170.0 - BLD 02_6815022,69,1
170.0 - BLD 05_7861372,69,6
