"x"
"132" "14.0 - INGERSOLL BLD 25_8478523"
"133" "14.0 - INGERSOLL BLD 26_8478502"
"134" "14.0 - INGERSOLL BLD 27_8478524"
"135" "14.0 - INGERSOLL BLD 28_8478482"
"136" "14.0 - INGERSOLL BLD 31_8572288"
"137" "14.0 - INGERSOLL BLD 33_8572281"
"138" "14.0 - INGERSOLL BLD 34_8572282"
"139" "14.0 - INGERSOLL BLD 35_8572289"
"140" "14.0 - INGERSOLL BLD 36_8478505"
"141" "14.0 - NA_8478483"
"142" "140.0 - BLD 02_8095585"
"143" "140.0 - BLD 05_8095058"
"144" "141.0 - BLD 01_8570520"
"145" "141.0 - BLD 04_8095575"
"146" "142.0 - BLD 01_7225275"
"147" "142.0 - BLD 02_5536425"
"148" "142.0 - BLD 03_2585398"
"149" "143.0 - BLD 01_7272173"
"150" "145.0 - BLD 04_8125366"
"151" "145.0 - BLD 07_8009943"
"152" "147.0 - BLD 08_7152047"
"153" "148.0 - BLD 18_7834064"
"154" "149.0 - BLD 01_8362615"
"155" "149.0 - BLD 02_8362616"
"156" "149.0 - BLD 02_8362617"
"157" "149.0 - BLD 03_8362614"
"158" "149.0 - BLD 04_7263111"
"159" "15.0 - BLD 01_7890006"
"160" "15.0 - BLD 02_7890017"
"161" "15.0 - BLD 03_7860023"
"162" "15.0 - BLD 04_7890003"
"163" "150.0 - BLD 01_7692844"
"164" "151.0 - BLD 03_8746903"
"165" "152.0 - BLD 10_7695070"
"166" "153.0 - BLD 01_7837018"
"167" "153.0 - BLD 02_7272240"
"168" "154.0 - BLD 01_7574782"
"169" "155.0 - BLD 01_7115642"
"170" "156.0 - BLD 01_7573839"
"171" "157.0 - BLD 11_8350354"
"172" "157.0 - BLD 12_8298907"
"173" "158.0 - BLD 01_6598945"
"174" "159.0 - BLD 01_7176946"
"175" "159.0 - BLD 01_7835171"
"176" "16.0 - BLD 17_7249845"
"177" "16.0 - BROWNSVILLE BLD 01_8125870"
"178" "16.0 - BROWNSVILLE BLD 02_8322431"
"179" "16.0 - BROWNSVILLE BLD 03_8322424"
"180" "16.0 - BROWNSVILLE BLD 04_8095213"
"181" "16.0 - BROWNSVILLE BLD 05_8125869"
"182" "16.0 - BROWNSVILLE BLD 07_8322437"
"183" "16.0 - BROWNSVILLE BLD 08_8125866"
"184" "16.0 - BROWNSVILLE BLD 09_8095207"
"185" "16.0 - BROWNSVILLE BLD 11_8095208"
"186" "16.0 - BROWNSVILLE BLD 12_8095205"
"187" "16.0 - BROWNSVILLE BLD 13_8095216"
"188" "16.0 - BROWNSVILLE BLD 14_8125619"
"189" "16.0 - BROWNSVILLE BLD 15_8095211"
"190" "16.0 - BROWNSVILLE BLD 16_8322413"
"191" "16.0 - BROWNSVILLE BLD 18_8095212"
"192" "16.0 - BROWNSVILLE BLD 19_8125626"
"193" "16.0 - BROWNSVILLE BLD 21_8125620"
"194" "16.0 - BROWNSVILLE BLD 22_8125621"
"195" "16.0 - BROWNSVILLE BLD 23_8095214"
"196" "16.0 - BROWNSVILLE BLD 24_8095203"
"197" "16.0 - BROWNSVILLE BLD 25_8095215"
"198" "16.0 - BROWNSVILLE BLD 26_8095310"
"199" "16.0 - BROWNSVILLE BLD 27_8095218"
"200" "160.0 - BLD 01_7382890"
"201" "161.0 - BLD 17_5536418"
"202" "162.0 - BLD 01_8074911"
"203" "162.0 - BLD 02_7908851"
"204" "162.0 - BLD 03_8074912"
"205" "163.0 - BLD 02_8096666"
"206" "163.0 - BLD 03_8096664"
"207" "163.0 - BLD 03_8096667"
"208" "164.0 - BLD 01_96973681"
"209" "165.0 - BLD 01_99800299"
"210" "165.0 - BLD 02_99261420"
"211" "165.0 - BLD 03_90327795"
"212" "165.0 - BLD 04_99273488"
"213" "166.0 - BLD 01_7251046"
"214" "166.0 - BLD 02_8078169"
"215" "166.0 - BLD 03_7404621"
"216" "167.0 - BLD 01_7391017"
"217" "168.0 - BLD 01_7025655"
"218" "168.0 - BLD 02_7025653"
"219" "168.0 - BLD 03_6938089"
"220" "169.0 - BLD 01_7424127"
"221" "169.0 - BLD 02_8078302"
"222" "169.0 - BLD 03_8072598"
"223" "169.0 - BLD 04_8078330"
"224" "17.0 - BLD 10 - Community Center_8319537"
"225" "17.0 - JOHNSON BLD 01_8093710"
"226" "17.0 - JOHNSON BLD 02_8093704"
"227" "17.0 - JOHNSON BLD 03_8093691"
"228" "17.0 - JOHNSON BLD 04_8093699"
"229" "17.0 - JOHNSON BLD 05_8093694"
"230" "17.0 - JOHNSON BLD 06_8093709"
"231" "17.0 - JOHNSON BLD 07_8093698"
"232" "17.0 - JOHNSON BLD 08_8093708"
"233" "17.0 - JOHNSON BLD 09_8093685"
"234" "17.0 - JOHNSON BLD 10_8093703"
"235" "17.0 - JOHNSON BLD 10_8096449"
"236" "170.0 - BLD 01_7383523"
"237" "170.0 - BLD 02_6815022"
"238" "170.0 - BLD 05_7861372"
"239" "171.0 - BLD 01_7423999"
"240" "171.0 - BLD 02_7423997"
"241" "171.0 - BLD 03_8078347"
"242" "172.0 - BLD 01_7383554"
"243" "172.0 - BLD 02_6310852"
"244" "172.0 - BLD 03_7719202"
"245" "172.0 - BLD 05_6316305"
"246" "173.0 - BLD 05_7834068"
"247" "174.0 - BLD 01_7835156"
"248" "175.0 - WEST BRIGHTON I BLD 06_7860113_7500-12.2%"
"249" "176.0 - BLD 01_8127140"
"250" "177.0 - BLD 07_7424138"
"251" "177.0 - BLD 08_7662314"
"252" "177.0 - BLD 09_5648236"
"253" "178.0 - BLD 01_7834970"
"254" "178.0 - BLD 11_7161453"
"255" "178.0 - BLD 19_6438125"
"256" "178.0 - BLD 22_6540870"
"257" "178.0 - BLD 26_7692975"
"258" "18.0 - NA_8093927"
"259" "18.0 - NA_8096620"
"260" "18.0 - NA_8096623"
"261" "18.0 - NA_8096624"
"262" "18.0 - NA_8096628"
"263" "18.0 - NA_8142764"
"264" "18.0 - NA_8142769"
"265" "18.0 - NA_8142779"
"266" "18.0 - NA_8142780"
"267" "18.0 - NA_8142782"
"268" "18.0 - NA_8142798"
"269" "180.0 - BLD 01_8074850"
"270" "181.0 - BLD 02_8545819"
"271" "181.0 - BLD 03_5649493"
"272" "182.0 - BLD 01_7719140"
"273" "182.0 - BLD 02_6383272"
"274" "183.0 - BLD 01_6937990"
"275" "184.0 - BLD 01_7007362"
"276" "185.0 - BLD 01_7272247"
"277" "186.0 - BLD 01_7719178"
"278" "186.0 - BLD 02_6505419"
"279" "186.0 - BLD 03_6356890"
"280" "186.0 - BLD 04_6395328"
"281" "187.0 - BLD 01_5648200"
"282" "189.0 - BLD 01_7441488"
"283" "189.0 - BLD 01_7827666"
"284" "189.0 - BLD 02 - Community Center_8074759"
"285" "19.0 - NA_7929554"
"286" "19.0 - NA_7929560"
"287" "19.0 - NA_8142774"
"288" "19.0 - NA_8142787"
"289" "19.0 - NA_8142965"
"290" "19.0 - NA_8142966"
"291" "190.0 - BLD 01_7821087"
"292" "191.0 - BLD 01_8350349"
"293" "192.0 - BLD 01_6439097"
"294" "192.0 - BLD 02_6821247"
"295" "192.0 - BLD 03 - Community Center_7116125"
"296" "193.0 - BLD 30_8350406"
"297" "193.0 - BLD 31_8350387"
"298" "193.0 - BLD 32_8200767"
"299" "193.0 - BLD 33_8350393"
"300" "194.0 - BLD 01_7719134"
"301" "194.0 - BLD 02_7545126"
"302" "194.0 - BLD 03_7821184"
"303" "195.0 - BLD 01_7117134"
"304" "196.0 - BLD 01_8809016"
"305" "197.0 - BLD 01_8095565"
"306" "198.0 - BLD 18_7838856"
"307" "199.0 - BLD 01_8545803"
"308" "2.0 - BLD 20_6477762"
"309" "2.0 - BLD 21 - Community Center_6842671"
"310" "20.0 - BLD 01_8362709"
"311" "20.0 - BLD 02_8362706"
"312" "20.0 - BLD 03_8322447"
"313" "20.0 - BLD 04_8322448"
"314" "20.0 - BLD 05_8362708"
"315" "20.0 - BLD 06_8362686"
"316" "20.0 - BLD 07_8362687"
"317" "20.0 - BLD 08_8362688"
"318" "20.0 - BLD 08_8362707"
"319" "20.0 - BLD 08_8362733"
"320" "20.0 - BLD 10_8571957"
"321" "20.0 - BLD 11_8362689"
"322" "20.0 - BLD 12_8362731"
"323" "20.0 - BLD 13_8362732"
"324" "200.0 - BLD 01_7272348"
"325" "200.0 - BLD 02_7382876"
"326" "200.0 - BLD 03_7719179"
"327" "200.0 - BLD 04 - Community Center_8632495"
"328" "201.0 - BLD 01_7719168"
"329" "202.0 - BLD 01_8545890"
"330" "203.0 - BLD 01_7466839"
"331" "204.0 - BLD 01_6369212"
"332" "204.0 - BLD 02_8747020"
"333" "205.0 - BLD 01_7885252"
"334" "205.0 - BLD 02_2934812"
"335" "205.0 - BLD 02_8548081"
"336" "205.0 - BLD 03_8510818"
"337" "205.0 - BLD 03_8548055"
"338" "205.0 - BLD 04_8088763"
"339" "205.0 - BLD 05_2935620"
"340" "205.0 - BLD 05_8505416"
"341" "205.0 - BLD 05_8514570"
"342" "205.0 - BLD 06_2935621"
"343" "205.0 - BLD 06_8505033"
"344" "205.0 - BLD 06_8548111"
"345" "205.0 - BLD 07_8505069"
"346" "205.0 - BLD 08_7955384"
"347" "205.0 - BLD 09_8505034"
"348" "205.0 - BLD 11_7953599"
"349" "205.0 - BLD 12_6269382"
"350" "205.0 - BLD 13_7995356"
"351" "205.0 - BLD 16_3248091"
"352" "206.0 - BLD 02_7382886"
"353" "207.0 - BLD 06_7695000"
"354" "207.0 - BLD 07_3197906"
"355" "207.0 - BLD 08_6939913"
"356" "207.0 - BLD 09_7178840"
"357" "207.0 - BLD 10_7574619"
"358" "207.0 - BLD 12_7703583"
"359" "207.0 - BLD 13_6706773"
"360" "207.0 - BLD 13_7719136"
"361" "208.0 - BLD 01_8184991"
"362" "208.0 - BLD 01_8545724"
"363" "21.0 - BLD 01_8300966"
"364" "21.0 - BLD 02_6443527"
"365" "21.0 - BLD 03_6443449"
"366" "21.0 - BLD 04_8267457"
"367" "21.0 - BLD 05_8267460"
"368" "21.0 - BLD 06_8300965"
"369" "21.0 - BLD 07_8661551"
"370" "21.0 - BLD 08_8267558"
"371" "21.0 - BLD 09_8096396"
"372" "21.0 - BLD 10_8300961"
"373" "21.0 - BLD 11_8267547"
"374" "21.0 - BLD 12_8267555"
"375" "21.0 - BLD 14_8267461"
"376" "21.0 - BLD 14_8300960"
"377" "21.0 - BLD 15_8267458"
"378" "21.0 - BLD 16_8267556"
"379" "21.0 - BLD 17_7833954"
"380" "21.0 - BLD 18_8009861"
"381" "21.0 - BLD 19_7833988"
"382" "21.0 - BLD 20_7833963"
"383" "21.0 - BLD 21_7833964"
"384" "21.0 - BLD 22_7833959"
"385" "21.0 - BLD 23_7833960"
"386" "21.0 - BLD 24_7833966"
"387" "21.0 - BLD 25_8009854"
"388" "21.0 - BLD 26_7833965"
"389" "21.0 - BLD 27_7833950"
"390" "210.0 - BLD 02_6529272"
"391" "210.0 - BLD 03_7573620"
"392" "210.0 - BLD 04_7574699"
"393" "210.0 - BLD 05_7117230"
"394" "210.0 - BLD 06_6599069"
"395" "210.0 - BLD 07_5922822"
"396" "210.0 - BLD 08_7754296"
"397" "210.0 - BLD 09_6653509"
"398" "210.0 - BLD 10_8448625"
"399" "211.0 - BLD 01_7391516"
"400" "211.0 - BLD 08_8570389"
"401" "211.0 - BLD 09_8009553"
