,Account,Month,Prorated_Consumption,Prorated_Charge
0,47123-MN10141,2015-12-01,3088.909090909091,882.2842424242425
1,47123-MN10141,2016-01-01,8956.478005865103,2472.4515640273708
2,47123-MN10141,2016-02-01,8993.867140513943,1945.4635155822855
3,47123-MN10141,2016-03-01,4590.239748496446,-200.51884363039903
4,47123-MN10141,2016-04-01,4256.311098961181,-247.16429196282115
5,47123-MN10141,2016-05-01,4495.78813559322,-227.51110169491528
6,47123-MN10141,2016-06-01,2802.9825372367745,-288.01659989727784
7,47123-MN10141,2016-07-01,1152.4587251828632,-114.59710553814
8,47123-MN10141,2016-08-01,1173.4967672413793,400.3111206896552
9,47123-MN10141,2016-09-01,1399.0816532258063,452.12395161290317
10,47123-MN10141,2016-10-01,3033.2870967741937,913.6468817204302
11,47123-MN10141,2016-11-01,6112.72962962963,1686.6881481481482
12,47123-MN10141,2016-12-01,9053.429193899783,2492.9549891067536
13,47123-MN10141,2017-01-01,9556.36974789916,2737.0235294117647
14,47123-MN10141,2017-02-01,8444.15763546798,2525.673103448276
15,47123-MN10141,2017-03-01,8180.989550679205,2468.8884117032394
16,47123-MN10141,2017-04-01,5517.090909090909,1710.5061515151515
17,47123-MN10141,2017-05-01,3412.720430107527,1128.551688172043
18,47123-MN10141,2017-06-01,1926.8129032258064,676.9819784946237
19,47123-MN10141,2017-07-01,1842.8,668.3486666666668
20,47123-MN10141,2017-08-01,1308.3333333333335,517.4466666666667
21,47123-MN10141,2017-09-01,1756.7356321839081,646.9588505747126
22,47123-MN10141,2017-10-01,3590.769744160178,1156.95319243604
23,47123-MN10141,2017-11-01,6640.954393770857,1994.3078420467186
24,47123-MN10141,2017-12-01,12013.65850945495,3528.9860289210237
25,47123-MN10141,2018-01-01,13905.238042269186,4124.936729699666
26,47123-MN10141,2018-02-01,10374.27808676307,3138.7832703003337
27,47123-MN10141,2018-03-01,11395.632258064516,3395.761419354839
28,47123-MN10141,2018-04-01,7648.675862068965,2242.3766896551724
29,47123-MN10141,2018-05-01,4218.754440961337,1272.943249738767
30,47123-MN10141,2018-06-01,1423.62486938349,498.54916405433653
31,47123-MN10141,2018-07-01,1172.496342737722,432.87204806687566
32,47123-MN10141,2018-08-01,1509.158829676071,525.0538140020899
33,47123-MN10141,2018-09-01,2681.0896551724136,834.7510344827587
34,47123-MN10141,2018-10-01,5558.309677419355,1548.746129032258
35,47123-MN10141,2018-11-01,8752.738598442715,2347.3900778642937
36,47123-MN10141,2018-12-01,5705.551724137931,1522.7837931034483
37,47090-MN10076,2015-12-01,494.11764705882354,281.4185294117647
38,47090-MN10076,2016-01-01,867.9623529411765,509.7854705882353
39,47090-MN10076,2016-02-01,866.12625,517.5663124999999
40,47090-MN10076,2016-03-01,959.3316810344827,568.1458943965517
41,47090-MN10076,2016-04-01,897.0655172413792,534.7072413793104
42,47090-MN10076,2016-05-01,821.5901001112347,499.264616240267
43,47090-MN10076,2016-06-01,763.7612903225806,467.71161290322584
44,47090-MN10076,2016-07-01,808.1244716351501,-3664.6941601779754
45,47090-MN10076,2016-08-01,781.1956896551724,-2044.7505172413794
46,47090-MN10076,2016-09-01,772.6821428571429,507.0364285714286
47,47090-MN10076,2016-10-01,832.2669950738916,545.8789162561577
48,47090-MN10076,2016-11-01,760.1225287356322,499.0743218390804
49,47090-MN10076,2016-12-01,625.8533333333332,407.1044242424242
50,47090-MN10076,2017-01-01,716.1413793103449,406.04884012539185
51,47090-MN10076,2017-02-01,778.4252873563219,407.38206896551725
52,47090-MN10076,2017-03-01,823.1913978494624,429.34548387096777
53,47090-MN10076,2017-04-01,790.1212458286985,413.73003337041155
54,47090-MN10076,2017-05-01,783.807356321839,415.17114942528735
55,47090-MN10076,2017-06-01,702.3133333333333,376.1058333333333
56,47090-MN10076,2017-07-01,751.1689655172414,400.81474137931036
